Response_ID,Release Period,State,Facility ID,Completed Surveys,Response Rate (%)
173,07_2015,AZ,31301,Fewer than 100,38
174,07_2015,AZ,31302,Fewer than 100,29
175,07_2015,AZ,31303,Not Available,Not Available
176,07_2015,AZ,31304,Between 100 and 299,30
177,07_2015,AZ,31305,Not Available,Not Available
178,07_2015,AZ,31309,Not Available,Not Available
179,07_2015,AZ,31311,Not Available,Not Available
180,07_2015,AZ,31312,Fewer than 100,27
181,07_2015,AZ,31313,Between 100 and 299,24
182,07_2015,AZ,31314,Between 100 and 299,32
183,07_2015,AZ,31315,Fewer than 100,30
184,07_2015,AZ,31317,Between 100 and 299,31
185,07_2015,AZ,33302,Not Available,Not Available
186,07_2015,AR,40001,300 or more,32
187,07_2015,AR,40002,Between 100 and 299,21
188,07_2015,AR,40004,300 or more,35
189,07_2015,AR,40007,300 or more,34
190,07_2015,AR,40010,300 or more,36
191,07_2015,AR,40011,Between 100 and 299,19
192,07_2015,AR,40014,300 or more,35
193,07_2015,AR,40015,Between 100 and 299,22
194,07_2015,AR,40016,300 or more,19
195,07_2015,AR,40017,300 or more,26
196,07_2015,AR,40018,Between 100 and 299,26
197,07_2015,AR,40019,300 or more,26
198,07_2015,AR,40020,300 or more,30
199,07_2015,AR,40022,300 or more,32
200,07_2015,AR,40026,300 or more,34
201,07_2015,AR,40027,300 or more,31
202,07_2015,AR,40029,300 or more,27
203,07_2015,AR,40036,300 or more,28
204,07_2015,AR,40039,300 or more,27
205,07_2015,AR,40041,300 or more,33
206,07_2015,AR,40047,Between 100 and 299,33
207,07_2015,AR,40050,300 or more,30
208,07_2015,AR,40051,300 or more,17
209,07_2015,AR,40055,300 or more,26
210,07_2015,AR,40062,300 or more,35
211,07_2015,AR,40067,Between 100 and 299,26
212,07_2015,AR,40069,Between 100 and 299,14
213,07_2015,AR,40071,300 or more,27
214,07_2015,AR,40072,Between 100 and 299,24
215,07_2015,AR,40074,Between 100 and 299,27
216,07_2015,AR,40076,Between 100 and 299,23
217,07_2015,AR,40078,300 or more,34
218,07_2015,AR,40080,Between 100 and 299,24
219,07_2015,AR,40084,300 or more,30
220,07_2015,AR,40085,300 or more,28
221,07_2015,AR,40088,300 or more,31
222,07_2015,AR,40114,300 or more,27
223,07_2015,AR,40118,300 or more,30
224,07_2015,AR,40119,300 or more,27
225,07_2015,AR,40132,Not Available,Not Available
226,07_2015,AR,40134,300 or more,41
227,07_2015,AR,40137,300 or more,30
228,07_2015,AR,40147,300 or more,58
229,07_2015,AR,40152,Between 100 and 299,46
230,07_2015,AR,40153,Between 100 and 299,30
231,07_2015,AR,41300,Not Available,Not Available
232,07_2015,AR,41302,Fewer than 100,35
233,07_2015,AR,41303,Not Available,Not Available
234,07_2015,AR,41304,Fewer than 100,27
235,07_2015,AR,41305,Not Available,Not Available
236,07_2015,AR,41306,Fewer than 100,33
237,07_2015,AR,41307,Between 100 and 299,41
238,07_2015,AR,41308,Fewer than 100,17
239,07_2015,AR,41309,Fewer than 100,33
240,07_2015,AR,41310,Not Available,Not Available
241,07_2015,AR,41311,Fewer than 100,24
242,07_2015,AR,41312,Between 100 and 299,35
243,07_2015,AR,41313,Fewer than 100,26
244,07_2015,AR,41314,Between 100 and 299,37
245,07_2015,AR,41316,Between 100 and 299,23
246,07_2015,AR,41317,Not Available,Not Available
247,07_2015,AR,41318,Fewer than 100,29
248,07_2015,AR,41319,Not Available,Not Available
249,07_2015,AR,41320,Not Available,Not Available
250,07_2015,AR,41321,Between 100 and 299,24
251,07_2015,AR,41322,Between 100 and 299,28
252,07_2015,AR,41323,Between 100 and 299,23
253,07_2015,AR,41324,Not Available,Not Available
254,07_2015,AR,41326,Fewer than 100,17
255,07_2015,AR,41327,Between 100 and 299,18
256,07_2015,AR,41328,Between 100 and 299,17
257,07_2015,AR,41329,Between 100 and 299,35
258,07_2015,AR,41330,Not Available,Not Available
259,07_2015,AR,41331,Not Available,Not Available
260,07_2015,AR,43300,Not Available,Not Available
261,07_2015,CA,50002,300 or more,22
262,07_2015,CA,50006,300 or more,31
263,07_2015,CA,50007,300 or more,33
264,07_2015,CA,50008,300 or more,27
265,07_2015,CA,50009,300 or more,31
266,07_2015,CA,50013,300 or more,34
267,07_2015,CA,50014,300 or more,29
268,07_2015,CA,50017,300 or more,35
269,07_2015,CA,50018,300 or more,16
270,07_2015,CA,50022,300 or more,31
271,07_2015,CA,50024,300 or more,14
272,07_2015,CA,50025,300 or more,27
273,07_2015,CA,50026,300 or more,24
274,07_2015,CA,50028,300 or more,24
275,07_2015,CA,50030,300 or more,30
276,07_2015,CA,50036,300 or more,19
277,07_2015,CA,50038,Between 100 and 299,26
278,07_2015,CA,50039,300 or more,28
279,07_2015,CA,50040,300 or more,24
280,07_2015,CA,50042,300 or more,25
281,07_2015,CA,50043,300 or more,25
282,07_2015,CA,50045,300 or more,17
283,07_2015,CA,50047,300 or more,31
284,07_2015,CA,50054,300 or more,28
285,07_2015,CA,50055,300 or more,20
286,07_2015,CA,50056,300 or more,35
287,07_2015,CA,50057,300 or more,26
288,07_2015,CA,50058,300 or more,17
289,07_2015,CA,50060,300 or more,30
290,07_2015,CA,50063,300 or more,13
291,07_2015,CA,50067,Between 100 and 299,28
292,07_2015,CA,50069,300 or more,34
293,07_2015,CA,50070,300 or more,36
294,07_2015,CA,50071,300 or more,34
295,07_2015,CA,50072,300 or more,33
296,07_2015,CA,50073,300 or more,29
297,07_2015,CA,50075,300 or more,31
298,07_2015,CA,50076,300 or more,37
299,07_2015,CA,50077,300 or more,22
300,07_2015,CA,50078,300 or more,22
301,07_2015,CA,50079,300 or more,22
302,07_2015,CA,50082,300 or more,22
303,07_2015,CA,50084,300 or more,22
304,07_2015,CA,50089,300 or more,15
305,07_2015,CA,50090,Between 100 and 299,29
306,07_2015,CA,50091,300 or more,23
307,07_2015,CA,50093,300 or more,31
308,07_2015,CA,50096,Fewer than 100,25
309,07_2015,CA,50099,300 or more,27
310,07_2015,CA,50100,300 or more,31
311,07_2015,CA,50101,300 or more,22
312,07_2015,CA,50102,300 or more,19
313,07_2015,CA,50103,300 or more,29
314,07_2015,CA,50104,300 or more,15
315,07_2015,CA,50107,300 or more,26
316,07_2015,CA,50108,300 or more,28
317,07_2015,CA,50110,300 or more,24
318,07_2015,CA,50111,Between 100 and 299,21
319,07_2015,CA,50112,300 or more,26
320,07_2015,CA,50113,300 or more,20
321,07_2015,CA,50115,300 or more,31
322,07_2015,CA,50116,300 or more,23
323,07_2015,CA,50118,300 or more,37
324,07_2015,CA,50121,300 or more,18
325,07_2015,CA,50122,300 or more,26
326,07_2015,CA,50124,Between 100 and 299,34
327,07_2015,CA,50125,300 or more,23
328,07_2015,CA,50126,Between 100 and 299,20
329,07_2015,CA,50127,Between 100 and 299,28
330,07_2015,CA,50128,300 or more,27
331,07_2015,CA,50129,300 or more,24
332,07_2015,CA,50131,300 or more,32
333,07_2015,CA,50132,300 or more,19
334,07_2015,CA,50133,300 or more,20
335,07_2015,CA,50135,300 or more,16
336,07_2015,CA,50136,300 or more,27
337,07_2015,CA,50137,300 or more,31
338,07_2015,CA,50138,300 or more,33
339,07_2015,CA,50139,300 or more,26
340,07_2015,CA,50140,300 or more,27
341,07_2015,CA,50145,300 or more,36
342,07_2015,CA,50146,300 or more,33
343,07_2015,CA,50149,300 or more,12
344,07_2015,CA,50150,300 or more,26
345,07_2015,CA,50152,300 or more,22
346,07_2015,CA,50153,300 or more,31
347,07_2015,CA,50158,Fewer than 100,11
348,07_2015,CA,50159,Between 100 and 299,19
349,07_2015,CA,50167,300 or more,17
350,07_2015,CA,50168,300 or more,29
351,07_2015,CA,50169,300 or more,20
352,07_2015,CA,50174,300 or more,29
353,07_2015,CA,50179,300 or more,16
354,07_2015,CA,50180,300 or more,32
355,07_2015,CA,50189,Between 100 and 299,17
356,07_2015,CA,50191,300 or more,15
357,07_2015,CA,50192,Between 100 and 299,16
358,07_2015,CA,50194,300 or more,34
359,07_2015,CA,50195,300 or more,27
360,07_2015,CA,50196,Between 100 and 299,14
361,07_2015,CA,50197,300 or more,33
362,07_2015,CA,50204,300 or more,22
363,07_2015,CA,50205,Fewer than 100,10
364,07_2015,CA,50211,300 or more,23
365,07_2015,CA,50222,300 or more,25
366,07_2015,CA,50224,300 or more,32
367,07_2015,CA,50225,300 or more,34
368,07_2015,CA,50226,300 or more,19
369,07_2015,CA,50228,300 or more,19
370,07_2015,CA,50230,300 or more,14
371,07_2015,CA,50231,300 or more,43
372,07_2015,CA,50232,300 or more,38
373,07_2015,CA,50234,300 or more,50
374,07_2015,CA,50235,300 or more,26
375,07_2015,CA,50236,300 or more,29
376,07_2015,CA,50238,300 or more,29
377,07_2015,CA,50239,300 or more,19
378,07_2015,CA,50242,300 or more,27
379,07_2015,CA,50243,300 or more,39
380,07_2015,CA,50245,300 or more,18
381,07_2015,CA,50248,300 or more,40
382,07_2015,CA,50254,300 or more,31
383,07_2015,CA,50257,Between 100 and 299,24
384,07_2015,CA,50261,300 or more,37
385,07_2015,CA,50262,300 or more,28
386,07_2015,CA,50272,300 or more,29
387,07_2015,CA,50276,300 or more,23
388,07_2015,CA,50278,300 or more,23
389,07_2015,CA,50279,300 or more,29
390,07_2015,CA,50280,300 or more,25
391,07_2015,CA,50281,300 or more,20
392,07_2015,CA,50283,300 or more,30
393,07_2015,CA,50289,300 or more,32
394,07_2015,CA,50290,300 or more,33
395,07_2015,CA,50291,300 or more,29
396,07_2015,CA,50292,300 or more,20
397,07_2015,CA,50295,300 or more,18
398,07_2015,CA,50296,300 or more,25
399,07_2015,CA,50298,300 or more,28
400,07_2015,CA,50300,300 or more,35
401,07_2015,CA,50301,300 or more,24
402,07_2015,CA,50305,300 or more,24
403,07_2015,CA,50308,300 or more,27
404,07_2015,CA,50309,300 or more,32
405,07_2015,CA,50313,300 or more,23
406,07_2015,CA,50315,300 or more,14
407,07_2015,CA,50320,300 or more,27
408,07_2015,CA,50324,300 or more,33
409,07_2015,CA,50327,300 or more,21
410,07_2015,CA,50329,300 or more,19
411,07_2015,CA,50334,300 or more,25
412,07_2015,CA,50335,300 or more,31
413,07_2015,CA,50336,300 or more,30
414,07_2015,CA,50342,300 or more,16
415,07_2015,CA,50348,300 or more,23
416,07_2015,CA,50350,300 or more,17
417,07_2015,CA,50351,300 or more,33
418,07_2015,CA,50352,300 or more,28
419,07_2015,CA,50353,300 or more,26
420,07_2015,CA,50357,300 or more,45
421,07_2015,CA,50359,300 or more,18
422,07_2015,CA,50360,300 or more,27
423,07_2015,CA,50367,300 or more,25
424,07_2015,CA,50373,300 or more,19
425,07_2015,CA,50376,300 or more,21
426,07_2015,CA,50378,Between 100 and 299,23
427,07_2015,CA,50380,300 or more,30
428,07_2015,CA,50382,300 or more,30
429,07_2015,CA,50390,300 or more,23
430,07_2015,CA,50393,300 or more,19
431,07_2015,CA,50394,300 or more,29
432,07_2015,CA,50396,300 or more,36
433,07_2015,CA,50397,Fewer than 100,19
434,07_2015,CA,50407,300 or more,26
435,07_2015,CA,50411,300 or more,27
436,07_2015,CA,50414,300 or more,36
437,07_2015,CA,50417,300 or more,22
438,07_2015,CA,50423,Between 100 and 299,23
439,07_2015,CA,50424,300 or more,42
440,07_2015,CA,50425,300 or more,38
441,07_2015,CA,50426,300 or more,17
442,07_2015,CA,50434,Between 100 and 299,24
443,07_2015,CA,50435,300 or more,36
444,07_2015,CA,50438,300 or more,32
445,07_2015,CA,50441,300 or more,32
446,07_2015,CA,50444,300 or more,18
447,07_2015,CA,50454,300 or more,29
448,07_2015,CA,50455,300 or more,24
449,07_2015,CA,50457,300 or more,30
450,07_2015,CA,50464,300 or more,36
451,07_2015,CA,50468,300 or more,20
452,07_2015,CA,50471,300 or more,26
453,07_2015,CA,50481,300 or more,25
454,07_2015,CA,50485,300 or more,25
455,07_2015,CA,50488,300 or more,25
456,07_2015,CA,50492,300 or more,35
457,07_2015,CA,50496,300 or more,33
458,07_2015,CA,50498,300 or more,36
459,07_2015,CA,50502,300 or more,28
460,07_2015,CA,50503,300 or more,32
461,07_2015,CA,50506,300 or more,40
462,07_2015,CA,50510,300 or more,44
463,07_2015,CA,50512,300 or more,29
464,07_2015,CA,50515,300 or more,33
465,07_2015,CA,50516,300 or more,30
466,07_2015,CA,50517,Between 100 and 299,10
467,07_2015,CA,50523,300 or more,19
468,07_2015,CA,50526,Between 100 and 299,13
469,07_2015,CA,50528,Between 100 and 299,18
470,07_2015,CA,50534,300 or more,43
471,07_2015,CA,50537,300 or more,31
472,07_2015,CA,50541,300 or more,35
473,07_2015,CA,50543,Fewer than 100,18
474,07_2015,CA,50549,300 or more,26
475,07_2015,CA,50551,300 or more,37
476,07_2015,CA,50552,Not Available,Not Available
477,07_2015,CA,50557,300 or more,28
478,07_2015,CA,50561,300 or more,25
479,07_2015,CA,50567,300 or more,30
480,07_2015,CA,50568,300 or more,14
481,07_2015,CA,50570,300 or more,31
482,07_2015,CA,50573,300 or more,36
483,07_2015,CA,50575,Between 100 and 299,17
484,07_2015,CA,50580,Between 100 and 299,16
485,07_2015,CA,50581,300 or more,30
486,07_2015,CA,50586,300 or more,17
487,07_2015,CA,50588,300 or more,18
488,07_2015,CA,50589,300 or more,36
489,07_2015,CA,50590,300 or more,31
490,07_2015,CA,50597,300 or more,28
491,07_2015,CA,50599,300 or more,26
492,07_2015,CA,50603,300 or more,33
493,07_2015,CA,50604,300 or more,31
494,07_2015,CA,50608,300 or more,30
495,07_2015,CA,50609,300 or more,32
496,07_2015,CA,50616,300 or more,29
497,07_2015,CA,50624,300 or more,24
498,07_2015,CA,50625,300 or more,24
499,07_2015,CA,50633,300 or more,42
500,07_2015,CA,50636,300 or more,33
501,07_2015,CA,50641,300 or more,25
502,07_2015,CA,50660,Not Available,Not Available
503,07_2015,CA,50663,300 or more,17
504,07_2015,CA,50668,Not Available,Not Available
505,07_2015,CA,50674,300 or more,28
506,07_2015,CA,50677,300 or more,37
507,07_2015,CA,50678,300 or more,30
508,07_2015,CA,50684,300 or more,31
509,07_2015,CA,50686,300 or more,28
510,07_2015,CA,50688,300 or more,26
511,07_2015,CA,50689,300 or more,38
512,07_2015,CA,50690,300 or more,35
513,07_2015,CA,50696,300 or more,32
514,07_2015,CA,50697,Between 100 and 299,54
515,07_2015,CA,50701,300 or more,26
516,07_2015,CA,50704,300 or more,17
517,07_2015,CA,50708,300 or more,61
518,07_2015,CA,50709,300 or more,22
519,07_2015,CA,50710,300 or more,34
520,07_2015,CA,50714,300 or more,40
521,07_2015,CA,50717,300 or more,21
522,07_2015,CA,50723,300 or more,30
523,07_2015,CA,50724,300 or more,28
524,07_2015,CA,50726,300 or more,58
525,07_2015,CA,50727,300 or more,18
526,07_2015,CA,50732,300 or more,39
527,07_2015,CA,50735,300 or more,15
528,07_2015,CA,50736,300 or more,14
529,07_2015,CA,50737,300 or more,19
530,07_2015,CA,50738,Between 100 and 299,12
531,07_2015,CA,50739,300 or more,18
532,07_2015,CA,50740,300 or more,28
533,07_2015,CA,50742,300 or more,16
534,07_2015,CA,50744,300 or more,35
535,07_2015,CA,50745,300 or more,30
536,07_2015,CA,50746,300 or more,34
537,07_2015,CA,50747,300 or more,34
538,07_2015,CA,50748,300 or more,27
539,07_2015,CA,50751,Fewer than 100,25
540,07_2015,CA,50754,Fewer than 100,49
541,07_2015,CA,50755,Between 100 and 299,12
542,07_2015,CA,50757,300 or more,18
543,07_2015,CA,50758,300 or more,20
544,07_2015,CA,50760,300 or more,31
545,07_2015,CA,50761,300 or more,25
546,07_2015,CA,50763,Between 100 and 299,10
547,07_2015,CA,50764,300 or more,27
548,07_2015,CA,50765,300 or more,22
549,07_2015,CA,50766,Between 100 and 299,49
550,07_2015,CA,50767,300 or more,31
551,07_2015,CA,50769,300 or more,56
552,07_2015,CA,50770,300 or more,26
553,07_2015,CA,50771,300 or more,20
554,07_2015,CA,50772,300 or more,34
555,07_2015,CA,50773,300 or more,20
556,07_2015,CA,50775,Not Available,Not Available
557,07_2015,CA,50776,Not Available,Not Available
558,07_2015,CA,50777,Not Available,Not Available
559,07_2015,CA,51300,Not Available,Not Available
560,07_2015,CA,51301,Fewer than 100,23
561,07_2015,CA,51302,Not Available,Not Available
562,07_2015,CA,51303,Between 100 and 299,35
563,07_2015,CA,51304,Fewer than 100,28
564,07_2015,CA,51305,Not Available,Not Available
565,07_2015,CA,51306,Fewer than 100,21
566,07_2015,CA,51307,Not Available,Not Available
567,07_2015,CA,51308,Not Available,Not Available
568,07_2015,CA,51309,Not Available,Not Available
569,07_2015,CA,51310,300 or more,35
570,07_2015,CA,51311,Not Available,Not Available
571,07_2015,CA,51312,Not Available,Not Available
572,07_2015,CA,51314,Not Available,Not Available
573,07_2015,CA,51315,Not Available,Not Available
574,07_2015,CA,51316,300 or more,27
575,07_2015,CA,51317,Between 100 and 299,16
576,07_2015,CA,51318,Not Available,Not Available
577,07_2015,CA,51319,Between 100 and 299,33
578,07_2015,CA,51320,Between 100 and 299,30
579,07_2015,CA,51321,Between 100 and 299,35
580,07_2015,CA,51323,Not Available,Not Available
581,07_2015,CA,51324,Between 100 and 299,31
582,07_2015,CA,51325,Between 100 and 299,30
583,07_2015,CA,51326,Not Available,Not Available
584,07_2015,CA,51327,Not Available,Not Available
585,07_2015,CA,51328,Between 100 and 299,35
586,07_2015,CA,51329,300 or more,23
587,07_2015,CA,51330,Fewer than 100,27
588,07_2015,CA,51331,Fewer than 100,36
589,07_2015,CA,51332,Between 100 and 299,22
590,07_2015,CA,51334,Between 100 and 299,35
591,07_2015,CA,51335,Not Available,Not Available
592,07_2015,CA,53302,Not Available,Not Available
593,07_2015,CA,53305,Not Available,Not Available
594,07_2015,CA,53309,Not Available,Not Available
595,07_2015,CO,60001,300 or more,29
596,07_2015,CO,60003,300 or more,31
597,07_2015,CO,60004,300 or more,30
598,07_2015,CO,60006,300 or more,30
599,07_2015,CO,60008,300 or more,21
600,07_2015,CO,60009,300 or more,28
601,07_2015,CO,60010,300 or more,32
602,07_2015,CO,60011,300 or more,24
603,07_2015,CO,60012,300 or more,32
604,07_2015,CO,60013,300 or more,33
605,07_2015,CO,60014,300 or more,32
606,07_2015,CO,60015,300 or more,32
607,07_2015,CO,60016,300 or more,34
608,07_2015,CO,60020,300 or more,25
609,07_2015,CO,60022,300 or more,24
610,07_2015,CO,60023,300 or more,35
611,07_2015,CO,60024,300 or more,25
612,07_2015,CO,60027,300 or more,36
613,07_2015,CO,60028,300 or more,37
614,07_2015,CO,60030,300 or more,28
615,07_2015,CO,60031,300 or more,35
616,07_2015,CO,60032,300 or more,31
617,07_2015,CO,60034,300 or more,31
618,07_2015,CO,60036,300 or more,27
619,07_2015,CO,60043,Fewer than 100,33
620,07_2015,CO,60044,Between 100 and 299,33
621,07_2015,CO,60049,300 or more,38
622,07_2015,CO,60054,300 or more,37
623,07_2015,CO,60064,300 or more,34
624,07_2015,CO,60065,300 or more,27
625,07_2015,CO,60071,Between 100 and 299,30
626,07_2015,CO,60075,300 or more,30
627,07_2015,CO,60076,Between 100 and 299,34
628,07_2015,CO,60096,300 or more,32
629,07_2015,CO,60100,300 or more,31
630,07_2015,CO,60103,300 or more,34
631,07_2015,CO,60104,300 or more,27
632,07_2015,CO,60107,Not Available,Not Available
633,07_2015,CO,60112,300 or more,33
634,07_2015,CO,60113,300 or more,30
635,07_2015,CO,60114,300 or more,27
636,07_2015,CO,60116,300 or more,35
637,07_2015,CO,60117,Between 100 and 299,59
638,07_2015,CO,60118,300 or more,34
639,07_2015,CO,60119,300 or more,31
640,07_2015,CO,60124,300 or more,55
641,07_2015,CO,60125,Not Available,Not Available
642,07_2015,CO,61300,Not Available,Not Available
643,07_2015,CO,61301,Fewer than 100,29
644,07_2015,CO,61302,Fewer than 100,43
645,07_2015,CO,61303,Fewer than 100,30
646,07_2015,CO,61304,Not Available,Not Available
647,07_2015,CO,61305,Fewer than 100,28
648,07_2015,CO,61306,Not Available,Not Available
649,07_2015,CO,61307,Not Available,Not Available
650,07_2015,CO,61308,Not Available,Not Available
651,07_2015,CO,61309,Fewer than 100,25
652,07_2015,CO,61310,Not Available,Not Available
653,07_2015,CO,61311,Not Available,Not Available
654,07_2015,CO,61312,Between 100 and 299,39
655,07_2015,CO,61313,Fewer than 100,28
