License_ID,State,Latitude
License_213,Southland (1),-117.3685077
License_214,Taranaki (1),-117.7384879
License_215,Auckland (7),-118.1084682
License_216,Bay Of Plenty (2),-118.4784484
License_217,Auckland (7),-118.8484286
License_218,Bay Of Plenty (2),-119.2184089
License_219,Canterbury (4),-119.5883891
License_220,Gisborne (3),-119.9583693
License_221,Manawatu Wanganui (6),-120.3283496
License_222,Marlborough (1),-120.6983298
License_223,Nelson (1),-121.06831
License_224,Northland (1),-121.4382903
License_225,Otago (3),-121.8082705
License_226,Southland (1),-122.1782508
License_227,Taranaki (1),-122.548231
License_228,Auckland (7),-122.9182112
License_229,Bay Of Plenty (2),-123.2881915
License_230,Auckland (7),-123.6581717
License_231,Bay Of Plenty (2),-124.0281519
License_232,Canterbury (4),-124.3981322
License_233,Gisborne (3),-124.7681124
License_234,Manawatu Wanganui (6),-125.1380926
License_235,Marlborough (1),-125.5080729
License_236,Nelson (1),-125.8780531
License_237,Northland (1),-126.2480333
License_238,Otago (3),-126.6180136
License_239,Southland (1),-126.9879938
License_240,Taranaki (1),-127.3579741
License_241,Auckland (7),-127.7279543
License_242,Bay Of Plenty (2),-128.0979345
License_243,Auckland (7),-128.4679148
License_244,Bay Of Plenty (2),-128.837895
License_245,Canterbury (4),-129.2078752
License_246,Gisborne (3),-129.5778555
License_247,Manawatu Wanganui (6),-129.9478357
License_248,Marlborough (1),-130.3178159
License_249,Nelson (1),-130.6877962
License_250,Northland (1),-131.0577764
License_251,Otago (3),-131.4277566
License_252,Southland (1),-131.7977369
License_253,Taranaki (1),-132.1677171
License_254,Auckland (7),-132.5376974
License_255,Bay Of Plenty (2),-132.9076776
License_256,Auckland (7),-133.2776578
License_257,Bay Of Plenty (2),-133.6476381
License_258,Canterbury (4),-134.0176183
License_259,Gisborne (3),-134.3875985
License_260,Manawatu Wanganui (6),-134.7575788
License_261,Marlborough (1),-135.127559
License_262,Nelson (1),-135.4975392
License_263,Northland (1),-135.8675195
License_264,Otago (3),-136.2374997
License_265,Southland (1),-136.6074799
License_266,Taranaki (1),-136.9774602
License_267,Auckland (7),-137.3474404
License_268,Bay Of Plenty (2),-137.7174207
License_269,Auckland (7),-138.0874009
License_270,Bay Of Plenty (2),-138.4573811
License_271,Canterbury (4),-138.8273614
License_272,Gisborne (3),-139.1973416
License_273,Manawatu Wanganui (6),-139.5673218
License_274,Marlborough (1),-139.9373021
License_275,Nelson (1),-140.3072823
License_276,Northland (1),-140.6772625
License_277,Auckland (7),-141.0472428
License_278,Bay Of Plenty (2),-141.417223
License_279,Canterbury (4),-141.7872032
License_280,Gisborne (3),-142.1571835
License_281,Manawatu Wanganui (6),-142.5271637
License_282,Marlborough (1),-142.897144
License_283,Nelson (1),-143.2671242
License_284,Northland (1),-143.6371044
License_285,Otago (3),-144.0070847
License_286,Southland (1),-144.3770649
License_287,Taranaki (1),-144.7470451
License_288,Auckland (7),-145.1170254
License_289,Bay Of Plenty (2),-145.4870056
License_290,Auckland (7),-145.8569858
License_291,Bay Of Plenty (2),-146.2269661
License_292,Canterbury (4),-146.5969463
License_293,Gisborne (3),-146.9669266
License_294,Manawatu Wanganui (6),-147.3369068
License_295,Marlborough (1),-147.706887
License_296,Nelson (1),-148.0768673
License_297,Northland (1),-148.4468475
License_298,Otago (3),-148.8168277
License_299,Southland (1),-149.186808
License_300,Taranaki (1),-149.5567882
License_301,Auckland (7),-149.9267684
License_302,Bay Of Plenty (2),-150.2967487
License_303,Auckland (7),-150.6667289
License_304,Bay Of Plenty (2),-151.0367091
License_305,Canterbury (4),-151.4066894
License_306,Gisborne (3),-151.7766696
License_307,Manawatu Wanganui (6),-152.1466499
License_308,Marlborough (1),-152.5166301
License_309,Nelson (1),-152.8866103
License_310,Northland (1),-153.2565906
License_311,Otago (3),-153.6265708
License_312,Southland (1),-153.996551
License_313,Taranaki (1),-154.3665313
License_314,Auckland (7),-154.7365115
License_315,Bay Of Plenty (2),-155.1064917
License_316,Auckland (7),-155.476472
License_317,Bay Of Plenty (2),-155.8464522
License_318,Canterbury (4),-156.2164324
License_319,Gisborne (3),-156.5864127
License_320,Manawatu Wanganui (6),-156.9563929
License_321,Marlborough (1),-157.3263732
License_322,Nelson (1),-157.6963534
License_323,Northland (1),-158.0663336
License_324,Otago (3),-158.4363139
License_325,Southland (1),-158.8062941
License_326,Taranaki (1),-159.1762743
License_327,Auckland (7),-159.5462546
License_328,Bay Of Plenty (2),-159.9162348
License_329,Auckland (7),-160.286215
License_330,Bay Of Plenty (2),-160.6561953
License_331,Canterbury (4),-161.0261755
License_332,Gisborne (3),-161.3961557
License_333,Manawatu Wanganui (6),-161.766136
License_334,Marlborough (1),-162.1361162
License_335,Nelson (1),-162.5060965
License_336,Northland (1),-162.8760767
License_337,Otago (3),-163.2460569
License_338,Southland (1),-163.6160372
License_339,Taranaki (1),-163.9860174
License_340,Auckland (7),-164.3559976
License_341,Bay Of Plenty (2),-164.7259779
License_342,Auckland (7),-165.0959581
License_343,Bay Of Plenty (2),-165.4659383
License_344,Canterbury (4),-165.8359186
License_345,Gisborne (3),-166.2058988
License_346,Manawatu Wanganui (6),-166.575879
License_347,Marlborough (1),-166.9458593
License_348,Nelson (1),-167.3158395
License_349,Northland (1),-167.6858198
License_350,Otago (3),-168.0558
License_351,Southland (1),-168.4257802
License_352,Taranaki (1),-168.7957605
License_353,Auckland (7),-169.1657407
License_354,Bay Of Plenty (2),-169.5357209
License_355,Auckland (7),-169.9057012
License_356,Bay Of Plenty (2),-170.2756814
License_357,Canterbury (4),-170.6456616
License_358,Gisborne (3),-171.0156419
License_359,Manawatu Wanganui (6),-171.3856221
License_360,Marlborough (1),-171.7556023
License_361,Nelson (1),-172.1255826
License_362,Northland (1),-172.4955628
License_363,Otago (3),-172.8655431
License_364,Southland (1),-173.2355233
License_365,Taranaki (1),-173.6055035
License_366,Auckland (7),-173.9754838
License_367,Bay Of Plenty (2),-174.345464
License_368,Auckland (7),-174.7154442
License_369,Bay Of Plenty (2),-175.0854245
License_370,Canterbury (4),-175.4554047
License_371,Gisborne (3),-175.8253849
License_372,Manawatu Wanganui (6),-176.1953652
License_373,Marlborough (1),-176.5653454
License_374,Nelson (1),-176.9353256
License_375,Northland (1),-177.3053059
License_376,Otago (3),-177.6752861
License_377,Southland (1),-178.0452664
License_378,Taranaki (1),-178.4152466
License_379,Auckland (7),-178.7852268
License_380,Bay Of Plenty (2),-179.1552071
License_381,Auckland (7),-179.5251873
License_382,Bay Of Plenty (2),-179.8951675
License_383,Canterbury (4),-180.2651478
License_384,Gisborne (3),-180.635128
License_385,Manawatu Wanganui (6),-181.0051082
License_386,Marlborough (1),-181.3750885
License_387,Nelson (1),-181.7450687
License_388,Northland (1),-182.1150489
License_389,Otago (3),-182.4850292
License_390,Southland (1),-182.8550094
License_391,Taranaki (1),-183.2249897
License_392,Auckland (7),-183.5949699
License_393,Bay Of Plenty (2),-183.9649501
License_394,Auckland (7),-184.3349304
License_395,Bay Of Plenty (2),-184.7049106
License_396,Canterbury (4),-185.0748908
License_397,Gisborne (3),-185.4448711
License_398,Manawatu Wanganui (6),-185.8148513
License_399,Marlborough (1),-186.1848315
License_400,Nelson (1),-186.5548118
License_401,Northland (1),-186.924792
License_402,Otago (3),-187.2947722
License_403,Southland (1),-187.6647525
License_404,Taranaki (1),-188.0347327
License_405,Auckland (7),-188.404713
License_406,Bay Of Plenty (2),-188.7746932
License_407,Auckland (7),-189.1446734
License_408,Bay Of Plenty (2),-189.5146537
License_409,Canterbury (4),-189.8846339
License_410,Gisborne (3),-190.2546141
License_411,Manawatu Wanganui (6),-190.6245944
License_412,Marlborough (1),-190.9945746
License_413,Nelson (1),-191.3645548
License_414,Northland (1),-191.7345351
License_415,Auckland (7),-192.1045153
License_416,Bay Of Plenty (2),-192.4744955
License_417,Canterbury (4),-192.8444758
License_418,Gisborne (3),-193.214456
License_419,Manawatu Wanganui (6),-193.5844363
License_420,Marlborough (1),-193.9544165
License_421,Nelson (1),-194.3243967
License_422,Northland (1),-194.694377
License_423,Otago (3),-195.0643572
License_424,Southland (1),-195.4343374
License_425,Taranaki (1),-195.8043177
License_426,Auckland (7),-196.1742979
License_427,Bay Of Plenty (2),-196.5442781
License_428,Auckland (7),-196.9142584
License_429,Bay Of Plenty (2),-197.2842386
License_430,Canterbury (4),-197.6542188
License_431,Gisborne (3),-198.0241991
License_432,Manawatu Wanganui (6),-198.3941793
License_433,Marlborough (1),-198.7641596
License_434,Nelson (1),-199.1341398
License_435,Northland (1),-199.50412
License_436,Otago (3),-199.8741003
License_437,Southland (1),-200.2440805
License_438,Taranaki (1),-200.6140607
License_439,Auckland (7),-200.984041
License_440,Bay Of Plenty (2),-201.3540212
License_441,Auckland (7),-201.7240014
License_442,Bay Of Plenty (2),-202.0939817
License_443,Canterbury (4),-202.4639619
License_444,Gisborne (3),-202.8339421
License_445,Manawatu Wanganui (6),-203.2039224
License_446,Marlborough (1),-203.5739026
License_447,Nelson (1),-203.9438829
License_448,Northland (1),-204.3138631
License_449,Otago (3),-204.6838433
License_450,Southland (1),-205.0538236
License_451,Taranaki (1),-205.4238038
License_452,Auckland (7),-205.793784
License_453,Bay Of Plenty (2),-206.1637643
License_454,Auckland (7),-206.5337445
License_455,Bay Of Plenty (2),-206.9037247
License_456,Canterbury (4),-207.273705
License_457,Gisborne (3),-207.6436852
License_458,Manawatu Wanganui (6),-208.0136654
License_459,Marlborough (1),-208.3836457
License_460,Nelson (1),-208.7536259
License_461,Northland (1),-209.1236062
License_462,Otago (3),-209.4935864
License_463,Southland (1),-209.8635666
License_464,Taranaki (1),-210.2335469
License_465,Auckland (7),-210.6035271
License_466,Bay Of Plenty (2),-210.9735073
License_467,Auckland (7),-211.3434876
License_468,Bay Of Plenty (2),-211.7134678
License_469,Canterbury (4),-212.083448
License_470,Gisborne (3),-212.4534283
License_471,Manawatu Wanganui (6),-212.8234085
License_472,Marlborough (1),-213.1933887
License_473,Nelson (1),-213.563369
License_474,Northland (1),-213.9333492
License_475,Otago (3),-214.3033295
License_476,Southland (1),-214.6733097
License_477,Taranaki (1),-215.0432899
License_478,Auckland (7),-215.4132702
License_479,Bay Of Plenty (2),-215.7832504
License_480,Auckland (7),-216.1532306
License_481,Bay Of Plenty (2),-216.5232109
License_482,Canterbury (4),-216.8931911
License_483,Gisborne (3),-217.2631713
License_484,Manawatu Wanganui (6),-217.6331516
License_485,Marlborough (1),-218.0031318
License_486,Nelson (1),-218.373112
License_487,Northland (1),-218.7430923
License_488,Otago (3),-219.1130725
License_489,Southland (1),-219.4830528
License_490,Taranaki (1),-219.853033
License_491,Auckland (7),-220.2230132
License_492,Bay Of Plenty (2),-220.5929935
License_493,Auckland (7),-220.9629737
License_494,Bay Of Plenty (2),-221.3329539
License_495,Canterbury (4),-221.7029342
License_496,Gisborne (3),-222.0729144
License_497,Manawatu Wanganui (6),-222.4428946
License_498,Marlborough (1),-222.8128749
License_499,Nelson (1),-223.1828551
License_500,Northland (1),-223.5528353
License_501,Otago (3),-223.9228156
License_502,Southland (1),-224.2927958
License_503,Taranaki (1),-224.6627761
License_504,Auckland (7),-225.0327563
License_505,Bay Of Plenty (2),-225.4027365
License_506,Auckland (7),-225.7727168
License_507,Bay Of Plenty (2),-226.142697
License_508,Canterbury (4),-226.5126772
License_509,Gisborne (3),-226.8826575
License_510,Manawatu Wanganui (6),-227.2526377
License_511,Marlborough (1),-227.6226179
License_512,Nelson (1),-227.9925982
License_513,Northland (1),-228.3625784
License_514,Otago (3),-228.7325586
License_515,Southland (1),-229.1025389
License_516,Taranaki (1),-229.4725191
License_517,Auckland (7),-229.8424994
License_518,Bay Of Plenty (2),-230.2124796
License_519,Auckland (7),-230.5824598
License_520,Bay Of Plenty (2),-230.9524401
License_521,Canterbury (4),-231.3224203
License_522,Gisborne (3),-231.6924005
License_523,Manawatu Wanganui (6),-232.0623808
License_524,Marlborough (1),-232.432361
License_525,Nelson (1),-232.8023412
License_526,Northland (1),-233.1723215
License_527,Otago (3),-233.5423017
License_528,Southland (1),-233.9122819
License_529,Taranaki (1),-234.2822622
License_530,Auckland (7),-234.6522424
License_531,Bay Of Plenty (2),-235.0222227
License_532,Auckland (7),-235.3922029
License_533,Bay Of Plenty (2),-235.7621831
License_534,Canterbury (4),-236.1321634
License_535,Gisborne (3),-236.5021436
License_536,Manawatu Wanganui (6),-236.8721238
License_537,Marlborough (1),-237.2421041
License_538,Nelson (1),-237.6120843
License_539,Northland (1),-237.9820645
License_540,Otago (3),-238.3520448
License_541,Southland (1),-238.722025
License_542,Taranaki (1),-239.0920052
License_543,Auckland (7),-239.4619855
License_544,Bay Of Plenty (2),-239.8319657
License_545,Auckland (7),-240.201946
License_546,Bay Of Plenty (2),-240.5719262
License_547,Canterbury (4),-240.9419064
License_548,Gisborne (3),-241.3118867
License_549,Manawatu Wanganui (6),-241.6818669
License_550,Marlborough (1),-242.0518471
License_551,Nelson (1),-242.4218274
License_552,Northland (1),-242.7918076
License_553,Auckland (7),-243.1617878
License_554,Bay Of Plenty (2),-243.5317681
License_555,Canterbury (4),-243.9017483
License_556,Gisborne (3),-244.2717285
License_557,Manawatu Wanganui (6),-244.6417088
License_558,Marlborough (1),-245.011689
License_559,Nelson (1),-245.3816693
License_560,Northland (1),-245.7516495
License_561,Otago (3),-246.1216297
License_562,Southland (1),-246.49161
License_563,Taranaki (1),-246.8615902
License_564,Auckland (7),-247.2315704
License_565,Bay Of Plenty (2),-247.6015507
License_566,Auckland (7),-247.9715309
License_567,Bay Of Plenty (2),-248.3415111
License_568,Canterbury (4),-248.7114914
License_569,Gisborne (3),-249.0814716
License_570,Manawatu Wanganui (6),-249.4514518
License_571,Marlborough (1),-249.8214321
License_572,Nelson (1),-250.1914123
License_573,Northland (1),-250.5613926
License_574,Otago (3),-250.9313728
License_575,Southland (1),-251.301353
License_576,Taranaki (1),-251.6713333
License_577,Auckland (7),-252.0413135
License_578,Bay Of Plenty (2),-252.4112937
License_579,Auckland (7),-252.781274
License_580,Bay Of Plenty (2),-253.1512542
License_581,Canterbury (4),-253.5212344
License_582,Gisborne (3),-253.8912147
License_583,Manawatu Wanganui (6),-254.2611949
License_584,Marlborough (1),-254.6311751
License_585,Nelson (1),-255.0011554
License_586,Northland (1),-255.3711356
License_587,Otago (3),-255.7411159
License_588,Southland (1),-256.1110961
License_589,Taranaki (1),-256.4810763
License_590,Auckland (7),-256.8510566
License_591,Bay Of Plenty (2),-257.2210368
License_592,Auckland (7),-257.591017
License_593,Bay Of Plenty (2),-257.9609973
License_594,Canterbury (4),-258.3309775
License_595,Gisborne (3),-258.7009577
License_596,Manawatu Wanganui (6),-259.070938
License_597,Marlborough (1),-259.4409182
License_598,Nelson (1),-259.8108984
License_599,Northland (1),-260.1808787
License_600,Otago (3),-260.5508589
License_601,Southland (1),-260.9208392
License_602,Taranaki (1),-261.2908194
License_603,Auckland (7),-261.6607996
License_604,Bay Of Plenty (2),-262.0307799
License_605,Auckland (7),-262.4007601
License_606,Bay Of Plenty (2),-262.7707403
License_607,Canterbury (4),-263.1407206
License_608,Gisborne (3),-263.5107008
License_609,Manawatu Wanganui (6),-263.880681
License_610,Marlborough (1),-264.2506613
License_611,Nelson (1),-264.6206415
License_612,Northland (1),-264.9906217
License_613,Otago (3),-265.360602
License_614,Southland (1),-265.7305822
License_615,Taranaki (1),-266.1005625
License_616,Auckland (7),-266.4705427
License_617,Bay Of Plenty (2),-266.8405229
License_618,Auckland (7),-267.2105032
License_619,Bay Of Plenty (2),-267.5804834
License_620,Canterbury (4),-267.9504636
License_621,Gisborne (3),-268.3204439
License_622,Manawatu Wanganui (6),-268.6904241
License_623,Marlborough (1),-269.0604043
License_624,Nelson (1),-269.4303846
License_625,Northland (1),-269.8003648
License_626,Otago (3),-270.170345
License_627,Southland (1),-270.5403253
License_628,Taranaki (1),-270.9103055
License_629,Auckland (7),-271.2802858
License_630,Bay Of Plenty (2),-271.650266
License_631,Auckland (7),-272.0202462
License_632,Bay Of Plenty (2),-272.3902265
License_633,Canterbury (4),-272.7602067
License_634,Gisborne (3),-273.1301869
License_635,Manawatu Wanganui (6),-273.5001672
License_636,Marlborough (1),-273.8701474
License_637,Nelson (1),-274.2401276
License_638,Northland (1),-274.6101079
License_639,Otago (3),-274.9800881
License_640,Southland (1),-275.3500683
License_641,Taranaki (1),-275.7200486
License_642,Auckland (7),-276.0900288
License_643,Bay Of Plenty (2),-276.4600091
License_644,Auckland (7),-276.8299893
License_645,Bay Of Plenty (2),-277.1999695
License_646,Canterbury (4),-277.5699498
License_647,Gisborne (3),-277.93993
License_648,Manawatu Wanganui (6),-278.3099102
License_649,Marlborough (1),-278.6798905
License_650,Nelson (1),-279.0498707
License_651,Northland (1),-279.4198509
License_652,Otago (3),-279.7898312
License_653,Southland (1),-280.1598114
License_654,Taranaki (1),-280.5297916
License_655,Auckland (7),-280.8997719
License_656,Bay Of Plenty (2),-281.2697521
License_657,Auckland (7),-281.6397324
License_658,Bay Of Plenty (2),-282.0097126
License_659,Canterbury (4),-282.3796928
License_660,Gisborne (3),-282.7496731
License_661,Manawatu Wanganui (6),-283.1196533
License_662,Marlborough (1),-283.4896335
License_663,Nelson (1),-283.8596138
License_664,Northland (1),-284.229594
License_665,Otago (3),-284.5995742
License_666,Southland (1),-284.9695545
License_667,Taranaki (1),-285.3395347
License_668,Auckland (7),-285.7095149
License_669,Bay Of Plenty (2),-286.0794952
License_670,Auckland (7),-286.4494754
License_671,Bay Of Plenty (2),-286.8194557
License_672,Canterbury (4),-287.1894359
License_673,Gisborne (3),-287.5594161
License_674,Manawatu Wanganui (6),-287.9293964
License_675,Marlborough (1),-288.2993766
License_676,Nelson (1),-288.6693568
License_677,Northland (1),-289.0393371
License_678,Otago (3),-289.4093173
License_679,Southland (1),-289.7792975
License_680,Taranaki (1),-290.1492778
License_681,Auckland (7),-290.519258
License_682,Bay Of Plenty (2),-290.8892382
License_683,Auckland (7),-291.2592185
License_684,Bay Of Plenty (2),-291.6291987
License_685,Canterbury (4),-291.999179
License_686,Gisborne (3),-292.3691592
License_687,Manawatu Wanganui (6),-292.7391394
License_688,Marlborough (1),-293.1091197
License_689,Nelson (1),-293.4790999
License_690,Northland (1),-293.8490801
License_691,Auckland (7),-294.2190604
License_692,Bay Of Plenty (2),-294.5890406
License_693,Canterbury (4),-294.9590208
License_694,Gisborne (3),-295.3290011
License_695,Manawatu Wanganui (6),-295.6989813
License_696,Marlborough (1),-296.0689615
License_697,Nelson (1),-296.4389418
License_698,Northland (1),-296.808922
License_699,Otago (3),-297.1789023
License_700,Southland (1),-297.5488825
License_701,Taranaki (1),-297.9188627
License_702,Auckland (7),-298.288843
License_703,Bay Of Plenty (2),-298.6588232
License_704,Auckland (7),-299.0288034
License_705,Bay Of Plenty (2),-299.3987837
License_706,Canterbury (4),-299.7687639
License_707,Gisborne (3),-300.1387441
License_708,Manawatu Wanganui (6),-300.5087244
License_709,Marlborough (1),-300.8787046
License_710,Nelson (1),-301.2486848
License_711,Northland (1),-301.6186651
License_712,Otago (3),-301.9886453
License_713,Southland (1),-302.3586256
License_714,Taranaki (1),-302.7286058
License_715,Auckland (7),-303.098586
License_716,Bay Of Plenty (2),-303.4685663
License_717,Auckland (7),-303.8385465
License_718,Bay Of Plenty (2),-304.2085267
License_719,Canterbury (4),-304.578507
License_720,Gisborne (3),-304.9484872
License_721,Manawatu Wanganui (6),-305.3184674
License_722,Marlborough (1),-305.6884477
License_723,Nelson (1),-306.0584279
License_724,Northland (1),-306.4284081
License_725,Otago (3),-306.7983884
License_726,Southland (1),-307.1683686
