vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,owner_id,price_id,Engine_ID,License_ID
86,Roadbike,629,2001,PIAGGIO,Silver,12/6/2021,102,Owner86,price_86,Engine_086,License_086
87,Trailer,623,2015,HELMACK 8X5,Silver,1/19/2022,114,Owner87,price_87,Engine_087,License_087
88,Trailer,623,1984,LOCAL,Yellow,3/21/2022,102,Owner88,price_88,Engine_088,License_088
89,Trailer,623,2015,SINGLE AXLE,Silver,3/1/2022,103,Owner89,price_89,Engine_089,License_089
90,Boat Trailer,623,2008,BOAT,Silver,2/22/2022,104,Owner90,price_90,Engine_090,License_090
91,Trailer,623,1990,HOMEBUILT,Blue,1/20/2022,104,Owner91,price_91,Engine_091,License_091
92,Trailer,623,2000,PRESCOTT,Silver,3/8/2022,104,Owner92,price_92,Engine_092,License_092
93,Trailer,549,1996,TRAILER,Silver,3/24/2022,102,Owner93,price_93,Engine_093,License_093
94,Trailer,623,2018,COMPASS-C85,Silver,3/18/2022,102,Owner94,price_94,Engine_094,License_094
95,Trailer,616,2018,DOMESTIC TRAILER,Silver,12/28/2021,102,Owner95,price_95,Engine_095,License_095
96,Trailer,527,1985,TANDEM,Silver,1/13/2022,102,Owner96,price_96,Engine_096,License_096
97,Roadbike,550,2005,VT,Red,3/19/2022,102,Owner97,price_97,Engine_097,License_097
98,Roadbike,550,2000,CBR,Blue,1/31/2022,114,Owner98,price_98,Engine_098,License_098
99,Trailer,623,2022,HOMEBUILT,Black,2/14/2022,102,Owner99,price_99,Engine_099,License_099
100,Boat Trailer,623,2021,JETSKI ACTION LAB,Grey,12/30/2021,103,Owner100,price_100,Engine_100,License_100
101,Trailer,623,2000,HOMEBUILT,Silver,1/29/2022,106,Owner101,price_101,Engine_101,License_101
102,Trailer,549,2022,TRAILER,Black,3/12/2022,104,Owner102,price_102,Engine_102,License_102
103,Trailer,623,1998,MARTIN ENGINEERING,White,3/28/2022,102,Owner103,price_103,Engine_103,License_103
104,Trailer,623,2018,TUFF,Silver,11/22/2021,104,Owner104,price_104,Engine_104,License_104
105,Trailer,623,1977,LOCAL,Brown,12/3/2021,104,Owner105,price_105,Engine_105,License_105
106,Trailer - Heavy,623,2018,8X4 TRAYLA,Silver,2/1/2022,106,Owner106,price_106,Engine_106,License_106
107,Trailer,623,1980,HOMEMADE,Blue,3/20/2022,111,Owner107,price_107,Engine_107,License_107
108,Trailer - Heavy,623,2018,NYMIC,White,4/3/2022,114,Owner108,price_108,Engine_108,License_108
109,Trailer,623,2022,TRAILER,Silver,2/9/2022,102,Owner109,price_109,Engine_109,License_109
110,Trailer,623,2019,TANDEM,Grey,2/23/2022,109,Owner110,price_110,Engine_110,License_110
111,Trailer,623,2022,COMPASS-D116K,Silver,3/15/2022,106,Owner111,price_111,Engine_111,License_111
112,Roadbike,545,2004,FXSTDI,Red,1/16/2022,102,Owner112,price_112,Engine_112,License_112
113,Trailer,623,1967,LOCAL,Grey,10/19/2021,114,Owner113,price_113,Engine_113,License_113
114,Caravan,519,2006,SWIFT CHARISMA 230,White,2/27/2022,102,Owner114,price_114,Engine_114,License_114
115,Trailer,623,2018,TANK,Silver,3/29/2022,114,Owner115,price_115,Engine_115,License_115
116,Tractor,575,2007,FERGUSSON,Red,1/23/2022,103,Owner116,price_116,Engine_116,License_116
117,Trailer,623,2022,BST85,Silver,3/15/2022,109,Owner117,price_117,Engine_117,License_117
118,Roadbike,611,2003,LS650P,Black,12/3/2021,101,Owner118,price_118,Engine_118,License_118
119,Boat Trailer,626,2022,JET SKI,Black,3/19/2022,102,Owner119,price_119,Engine_119,License_119
120,Trailer,623,2022,VULCAN,Silver,3/4/2022,102,Owner120,price_120,Engine_120,License_120
121,Boat Trailer,549,1989,EZ LOADER STABI CRAF,Grey,10/12/2021,114,Owner121,price_121,Engine_121,License_121
122,Boat Trailer,623,2017,MCLAY,Silver,3/19/2022,105,Owner122,price_122,Engine_122,License_122
123,Trailer,623,2019,ENSOL TANKER,Silver,2/28/2022,108,Owner123,price_123,Engine_123,License_123
124,Roadbike,561,2008,EX,Red,4/2/2022,102,Owner124,price_124,Engine_124,License_124
125,Moped,585,2008,HYOSUNG SB49M,Red,1/29/2022,102,Owner125,price_125,Engine_125,License_125
126,Trailer,623,1996,BRIFORD,Grey,3/13/2022,114,Owner126,price_126,Engine_126,License_126
127,Boat Trailer,623,2000,REID,Silver,2/3/2022,102,Owner127,price_127,Engine_127,License_127
128,Boat Trailer,549,1994,15X7,White,1/1/2022,114,Owner128,price_128,Engine_128,License_128
129,Trailer,623,1998,KEA,Grey,11/16/2021,111,Owner129,price_129,Engine_129,License_129
130,Trailer,623,2019,ROADCHIEF,Grey,1/20/2022,101,Owner130,price_130,Engine_130,License_130
131,Roadbike,565,2002,EXC,Orange,2/13/2022,101,Owner131,price_131,Engine_131,License_131
132,Trailer,623,2019,JOBMATE,Silver,3/13/2022,104,Owner132,price_132,Engine_132,License_132
133,Trailer,623,2022,ENSOL TANKER,Silver,4/1/2022,108,Owner133,price_133,Engine_133,License_133
134,Trailer,623,2019,BRAKED TANDEM,Silver,12/17/2021,104,Owner134,price_134,Engine_134,License_134
135,Trailer,623,1980,HARENG,Grey,12/31/2021,103,Owner135,price_135,Engine_135,License_135
136,Trailer,623,2019,HOMEBUILT,Silver,3/13/2022,115,Owner136,price_136,Engine_136,License_136
137,Trailer,616,2019,DOMESTIC TRAILER,Silver,10/29/2021,102,Owner137,price_137,Engine_137,License_137
138,Trailer,623,1962,HOMEMADE,Green,2/16/2022,114,Owner138,price_138,Engine_138,License_138
139,Trailer,623,1997,SPACEE 2000,White,11/16/2021,107,Owner139,price_139,Engine_139,License_139
140,Trailer,514,2018,8X4 TANDEM TIPPER,Silver,3/18/2022,114,Owner140,price_140,Engine_140,License_140
141,Trailer,538,2019,BRENT SMITH TRAILERS,Silver,12/30/2021,109,Owner141,price_141,Engine_141,License_141
142,Trailer,623,2019,TASMAN8X5TB,Silver,10/10/2021,111,Owner142,price_142,Engine_142,License_142
143,Boat Trailer,623,2019,MAKZ,Silver,12/14/2021,109,Owner143,price_143,Engine_143,License_143
144,Trailer,595,2019,ENCLOSED TRAILER,Silver,10/19/2021,102,Owner144,price_144,Engine_144,License_144
145,Trailer,623,2019,ELITE 8X4,Silver,2/28/2022,114,Owner145,price_145,Engine_145,License_145
146,Trailer - Heavy,623,2019,TRANSPORTER,Silver,12/27/2021,105,Owner146,price_146,Engine_146,License_146
147,Trailer,623,2019,DOMESTIC,Grey,3/9/2022,102,Owner147,price_147,Engine_147,License_147
148,Trailer,538,2015,DOMESTIC TRAILER,Silver,3/21/2022,101,Owner148,price_148,Engine_148,License_148
149,Trailer - Heavy,514,2015,TRAILER 8X4,Silver,12/8/2021,102,Owner149,price_149,Engine_149,License_149
150,Caravan,519,2008,XPLORE 452,White,12/26/2021,104,Owner150,price_150,Engine_150,License_150
151,Trailer,595,2015,BRAKED TANDEM,Silver,2/18/2022,103,Owner151,price_151,Engine_151,License_151
152,Trailer,623,2015,HOBBS,Silver,11/12/2021,105,Owner152,price_152,Engine_152,License_152
153,Trailer,623,2015,WILPRO,Silver,11/22/2021,104,Owner153,price_153,Engine_153,License_153
154,Trailer - Heavy,514,2015,TRAILER,Silver,1/24/2022,102,Owner154,price_154,Engine_154,License_154
155,Trailer - Heavy,514,2015,TRAILER,Silver,3/8/2022,102,Owner155,price_155,Engine_155,License_155
156,Trailer - Heavy,514,2015,OTHER COMMERCIAL TRA,Silver,1/6/2022,114,Owner156,price_156,Engine_156,License_156
157,Trailer,623,2015,SINGLE AXLE 7X4,Silver,2/19/2022,114,Owner157,price_157,Engine_157,License_157
158,Caravan,606,2007,ALPINE  4T2A,White,1/29/2022,109,Owner158,price_158,Engine_158,License_158
159,Trailer,623,2015,FACTORY BUILT,Silver,1/10/2022,106,Owner159,price_159,Engine_159,License_159
160,Saloon,587,1989,SKYLINE,Blue,2/3/2022,109,Owner160,price_160,Engine_160,License_160
161,Boat Trailer,623,2015,YAMAHA VXR,Silver,11/10/2021,114,Owner161,price_161,Engine_161,License_161
162,Trailer - Heavy,514,2015,TRAILER,Silver,10/12/2021,109,Owner162,price_162,Engine_162,License_162
163,Trailer,623,2015,ROADLINE,Silver,10/30/2021,101,Owner163,price_163,Engine_163,License_163
164,Trailer,623,2015,TRAYLA,Silver,1/13/2022,109,Owner164,price_164,Engine_164,License_164
165,Trailer - Heavy,514,2015,TRAILER,Silver,12/31/2021,103,Owner165,price_165,Engine_165,License_165
166,Trailer - Heavy,514,2015,TRAILER,Silver,12/8/2021,102,Owner166,price_166,Engine_166,License_166
167,Caravan,525,1972,HALF VISTA,Red,3/16/2022,104,Owner167,price_167,Engine_167,License_167
168,Trailer - Heavy,623,2015,CANTERBURY FABRICAT,White,3/8/2022,107,Owner168,price_168,Engine_168,License_168
169,Trailer,623,2015,4.5M FLATDECK,Silver,1/28/2022,103,Owner169,price_169,Engine_169,License_169
170,Trail Bike,565,2020,SFX,Orange,11/8/2021,114,Owner170,price_170,Engine_170,License_170
171,Trailer,623,2016,ELITE 8X4,Silver,3/30/2022,114,Owner171,price_171,Engine_171,License_171
172,Trailer,623,2019,ROADCHIEF 8X5,Silver,3/24/2022,115,Owner172,price_172,Engine_172,License_172
173,Trailer,623,1998,LOCAL,Silver,12/25/2021,107,Owner173,price_173,Engine_173,License_173
174,Boat Trailer,623,2012,BOAT,Silver,12/22/2021,102,Owner174,price_174,Engine_174,License_174
175,Trailer - Heavy,623,2019,MM INDUSTRIES,Silver,10/11/2021,102,Owner175,price_175,Engine_175,License_175
176,Trailer,562,2019,KC85E,Silver,4/1/2022,104,Owner176,price_176,Engine_176,License_176
177,Trailer,562,2019,KC106AB,Silver,3/29/2022,103,Owner177,price_177,Engine_177,License_177
178,Boat Trailer,623,2019,BOAT TRAILER,Silver,2/12/2022,102,Owner178,price_178,Engine_178,License_178
179,Trailer - Heavy,562,2019,CAGE,Silver,11/24/2021,103,Owner179,price_179,Engine_179,License_179
180,Moped,629,1963,SPORTIQUE,Cream,12/7/2021,115,Owner180,price_180,Engine_180,License_180
181,Trailer,514,2019,5X4,Silver,11/2/2021,114,Owner181,price_181,Engine_181,License_181
182,Trailer,623,2019,CTDIG,Silver,11/22/2021,104,Owner182,price_182,Engine_182,License_182
183,Roadbike,611,2005,DR-Z400,Yellow,10/12/2021,114,Owner183,price_183,Engine_183,License_183
184,Trailer,599,2019,DOMESTIC TRAILER,Grey,10/28/2021,101,Owner184,price_184,Engine_184,License_184
185,Trailer,549,1990,TRAILER,Blue,3/19/2022,109,Owner185,price_185,Engine_185,License_185
186,Trailer,623,1981,HOMEMADE,Grey,2/16/2022,102,Owner186,price_186,Engine_186,License_186
187,Trailer,623,2019,TRAYLA,Silver,2/4/2022,106,Owner187,price_187,Engine_187,License_187
188,Boat Trailer,513,2019,357J,Silver,12/16/2021,102,Owner188,price_188,Engine_188,License_188
189,Trailer,623,2019,SMASH PALACE,Silver,3/7/2022,114,Owner189,price_189,Engine_189,License_189
190,Trailer,623,1996,BRIFORD 5X4 SHUTTLE,White,10/31/2021,114,Owner190,price_190,Engine_190,License_190
191,Trailer,623,2019,DIAMOND,Silver,1/19/2022,106,Owner191,price_191,Engine_191,License_191
192,Trailer,562,2019,K844XA,Silver,4/2/2022,103,Owner192,price_192,Engine_192,License_192
193,Trailer,623,2019,TUFF,Silver,11/1/2021,102,Owner193,price_193,Engine_193,License_193
194,Caravan,623,2006,DMW,White,12/7/2021,102,Owner194,price_194,Engine_194,License_194
195,Trailer - Heavy,514,2015,TRAILER,Silver,3/8/2022,102,Owner195,price_195,Engine_195,License_195
196,Trailer,623,1979,HOMEMADE,Green,12/2/2021,114,Owner196,price_196,Engine_196,License_196
197,Trailer - Heavy,623,2019,CABLE DRUM,Silver,3/13/2022,111,Owner197,price_197,Engine_197,License_197
198,Trailer,623,1999,LOCAL,Silver,2/2/2022,102,Owner198,price_198,Engine_198,License_198
199,Trailer,623,1998,KING,Silver,2/19/2022,106,Owner199,price_199,Engine_199,License_199
200,Trailer,623,2001,HOME BUILT,Grey,10/14/2021,115,Owner200,price_200,Engine_200,License_200
201,Trailer - Heavy,623,2019,IFOR WILLIAMS,Silver,1/7/2022,101,Owner201,price_201,Engine_201,License_201
202,Trailer,623,1977,LOCAL,Orange,10/25/2021,104,Owner202,price_202,Engine_202,License_202
203,Roadbike,625,2004,SPEEDTRIPLE,Red,2/10/2022,108,Owner203,price_203,Engine_203,License_203
204,Trailer,623,2019,DOLY,Grey,11/29/2021,106,Owner204,price_204,Engine_204,License_204
205,Trailer,623,2019,SINGLE AXLE,Grey,12/15/2021,114,Owner205,price_205,Engine_205,License_205
206,Roadbike,611,2005,GN250,Black,4/2/2022,102,Owner206,price_206,Engine_206,License_206
207,Roadbike,550,1985,XL250,White,3/27/2022,109,Owner207,price_207,Engine_207,License_207
208,Trailer,623,2019,ROOFLINE,Grey,2/14/2022,111,Owner208,price_208,Engine_208,License_208
209,Trailer,623,2019,T D ENGINEERING,Silver,3/17/2022,107,Owner209,price_209,Engine_209,License_209
210,Trailer,623,2015,TRADETESTED 7 X 4,Silver,10/12/2021,102,Owner210,price_210,Engine_210,License_210
211,Trailer,623,2015,VULCAN,Silver,11/1/2021,102,Owner211,price_211,Engine_211,License_211
212,Trailer,623,2016,HOME MADE,Grey,3/1/2022,109,Owner212,price_212,Engine_212,License_212
213,Caravan,504,1976,CARAVAN,White,12/1/2021,102,Owner213,price_213,Engine_213,License_213
214,Trailer - Heavy,597,2015,TRAILER,Silver,10/11/2021,102,Owner214,price_214,Engine_214,License_214
215,Trailer,572,2015,DOMESTIC TRAILER,Silver,4/3/2022,115,Owner215,price_215,Engine_215,License_215
216,Trailer,514,2008,TRAILER 8X4,Silver,2/10/2022,102,Owner216,price_216,Engine_216,License_216
217,Trailer - Heavy,623,1985,SLOAN,Blue,2/22/2022,103,Owner217,price_217,Engine_217,License_217
218,Trailer,616,2015,AK,Silver,12/23/2021,102,Owner218,price_218,Engine_218,License_218
219,Trailer,623,2002,HOMEBUILT,Grey,1/31/2022,114,Owner219,price_219,Engine_219,License_219
220,Trailer,623,2016,DOMESTIC,Silver,11/22/2021,101,Owner220,price_220,Engine_220,License_220
221,Boat Trailer,623,2000,JETSKI,Black,12/25/2021,103,Owner221,price_221,Engine_221,License_221
222,Trailer,623,2016,TANDEM,Silver,4/4/2022,106,Owner222,price_222,Engine_222,License_222
223,Trailer - Heavy,623,2016,FURN,White,1/17/2022,104,Owner223,price_223,Engine_223,License_223
224,Trailer,572,2016,3X2 PLATFORM,Silver,2/27/2022,115,Owner224,price_224,Engine_224,License_224
225,Trailer,623,2019,HOMEBUILT,Silver,1/26/2022,108,Owner225,price_225,Engine_225,License_225
226,Trailer,623,2019,GORILLA,Silver,1/25/2022,114,Owner226,price_226,Engine_226,License_226
227,Roadbike,611,2007,UZ,Grey,12/18/2021,102,Owner227,price_227,Engine_227,License_227
228,Trailer,549,1990,TRAILER,Grey,2/10/2022,114,Owner228,price_228,Engine_228,License_228
229,Caravan,525,1979,DIPLOMAT,Blue,1/28/2022,108,Owner229,price_229,Engine_229,License_229
230,Trailer - Heavy,623,1976,LOCAL,Silver,1/22/2022,108,Owner230,price_230,Engine_230,License_230
231,Trailer,549,1987,TRAILER,Red,3/5/2022,115,Owner231,price_231,Engine_231,License_231
232,Trailer,616,2019,DOMESTIC TRAILER,Silver,3/3/2022,102,Owner232,price_232,Engine_232,License_232
233,Trailer,623,2019,HOMEMADE,Silver,12/6/2021,108,Owner233,price_233,Engine_233,License_233
234,Moped,594,1998,MOTORCYCLE,Blue,11/6/2021,102,Owner234,price_234,Engine_234,License_234
235,Roadbike,611,2003,GSX250,Silver,12/30/2021,104,Owner235,price_235,Engine_235,License_235
236,Roadbike,611,2009,VL800,Black,3/31/2022,102,Owner236,price_236,Engine_236,License_236
237,Trailer,623,2002,DOMESTIC TRAILER,Grey,12/29/2021,102,Owner237,price_237,Engine_237,License_237
238,Trailer,514,2019,8X5 TANDEM,Silver,1/9/2022,114,Owner238,price_238,Engine_238,License_238
239,Trailer,623,2016,KEA,Silver,10/14/2021,102,Owner239,price_239,Engine_239,License_239
240,Trailer,623,2019,TANDEM,Silver,2/16/2022,114,Owner240,price_240,Engine_240,License_240
241,Roadbike,611,2007,VL800,Black,1/17/2022,102,Owner241,price_241,Engine_241,License_241
242,Trailer,549,1977,OLEARY 1 AXLE,Silver,3/2/2022,107,Owner242,price_242,Engine_242,License_242
243,Trailer,623,2001,DOMESTIC TRAILER,Silver,1/13/2022,108,Owner243,price_243,Engine_243,License_243
244,Boat Trailer,623,2019,HOMEBUILT,Silver,12/15/2021,102,Owner244,price_244,Engine_244,License_244
245,Boat Trailer,623,2019,BOAT,Silver,1/31/2022,101,Owner245,price_245,Engine_245,License_245
246,Trailer,623,2019,HOMEBUILT,Black,11/17/2021,106,Owner246,price_246,Engine_246,License_246
247,Trailer,516,2019,8X5 TANDEM TRAILER,Silver,10/18/2021,114,Owner247,price_247,Engine_247,License_247
248,Boat Trailer,623,2019,BOAT,Silver,3/4/2022,102,Owner248,price_248,Engine_248,License_248
249,Trailer,623,2019,M J SINGLE AXLE,Silver,1/24/2022,114,Owner249,price_249,Engine_249,License_249
250,Trailer,549,2019,DOMESTIC TRAILER,Black,1/6/2022,102,Owner250,price_250,Engine_250,License_250
251,Trailer,623,1940,HOMEBUILT,White,11/26/2021,115,Owner251,price_251,Engine_251,License_251
252,Trailer,538,2019,DOMESTIC TRAILER,Silver,3/21/2022,109,Owner252,price_252,Engine_252,License_252
253,Trailer - Heavy,623,2019,ROADCHIEF,Silver,10/24/2021,104,Owner253,price_253,Engine_253,License_253
254,Trailer,623,1997,K64SE,Silver,11/4/2021,111,Owner254,price_254,Engine_254,License_254
255,Trailer,623,1997,OLEARY,Silver,4/4/2022,108,Owner255,price_255,Engine_255,License_255
256,Boat Trailer,623,2001,LOCAL,Silver,3/15/2022,101,Owner256,price_256,Engine_256,License_256
257,Trailer,623,2017,CONCEPT,Silver,10/28/2021,108,Owner257,price_257,Engine_257,License_257
258,Trailer,616,2019,DOMESTIC TRAILER,Silver,3/25/2022,109,Owner258,price_258,Engine_258,License_258
259,Boat Trailer,549,2019,BOAT TRAILER,Silver,10/29/2021,102,Owner259,price_259,Engine_259,License_259
260,Roadbike,636,2005,YZF-R6T,Grey,2/17/2022,102,Owner260,price_260,Engine_260,License_260
261,Trailer,538,2019,TRAILUX TRAILER,Silver,3/31/2022,109,Owner261,price_261,Engine_261,License_261
