price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3016259,5758,3,1,3,no,no,no,no,no,1,yes,semi-furnished
1750000,9114,4,1,1,no,yes,no,no,yes,1,no,furnished
5572168,7540,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
5629200,3824,4,1,2,no,no,yes,no,yes,1,no,semi-furnished
3414894,4750,4,1,1,yes,no,no,no,no,1,no,furnished
1752459,4741,3,1,2,yes,no,no,no,yes,2,no,furnished
4106497,9960,3,1,1,yes,no,no,yes,no,0,yes,furnished
1750000,5115,2,1,2,yes,no,no,no,no,1,no,semi-furnished
3701431,3931,3,1,1,yes,no,no,no,no,1,no,semi-furnished
1750000,4845,2,2,1,yes,no,yes,no,no,2,yes,furnished
1750000,2839,3,2,2,yes,no,no,no,no,2,yes,unfurnished
3549389,3872,3,2,2,yes,yes,no,no,yes,0,no,semi-furnished
2597608,9590,2,1,2,yes,no,no,no,yes,0,no,semi-furnished
1750000,8890,3,1,2,yes,yes,no,no,yes,0,no,unfurnished
2514149,2372,3,2,2,yes,no,no,no,no,0,no,semi-furnished
4098821,5982,3,1,4,yes,no,yes,no,yes,0,no,furnished
1750000,6397,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
2526578,4945,2,1,2,no,no,yes,no,no,1,no,furnished
2705918,3495,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
1750000,7377,2,2,4,yes,no,yes,no,no,0,no,furnished
3376697,6835,3,1,1,yes,no,yes,no,no,0,no,unfurnished
1750000,3528,2,1,2,no,no,yes,yes,yes,2,no,furnished
7135114,5436,2,2,4,no,no,yes,yes,yes,1,no,unfurnished
2826555,5149,3,2,2,no,no,no,no,yes,0,yes,unfurnished
5702240,9211,2,1,1,no,yes,yes,no,yes,0,no,unfurnished
2804161,16200,3,1,1,yes,no,no,no,no,0,no,furnished
1750000,8534,4,1,1,no,yes,yes,no,no,0,yes,semi-furnished
1828453,8877,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
1750000,8351,2,1,1,yes,no,no,no,yes,1,yes,furnished
5214178,12030,2,1,2,yes,no,yes,no,no,2,no,semi-furnished
1795612,9171,2,1,2,yes,no,no,no,yes,0,no,semi-furnished
3719708,7544,3,2,1,no,no,yes,no,no,0,yes,unfurnished
4646567,5835,4,2,2,yes,no,no,no,no,0,no,furnished
3548479,3612,3,1,1,yes,no,no,no,yes,0,yes,semi-furnished
3318321,8026,2,1,2,yes,yes,no,no,yes,0,no,semi-furnished
13297530,3643,3,1,1,no,no,no,no,no,1,yes,unfurnished
3504313,4374,3,1,2,yes,no,no,yes,yes,0,no,furnished
1750000,5148,2,2,1,yes,no,no,no,yes,2,yes,semi-furnished
10194593,2149,2,2,4,yes,no,yes,no,yes,1,no,unfurnished
2924277,2482,5,1,1,no,no,no,no,yes,2,no,furnished
2328736,4075,3,2,2,yes,no,no,no,no,0,yes,furnished
1750000,7446,3,2,2,yes,no,yes,yes,no,0,no,semi-furnished
1750000,6941,3,1,1,yes,no,no,no,yes,0,no,unfurnished
11755080,3907,3,2,1,yes,no,no,no,no,0,yes,unfurnished
1750000,8488,2,1,2,yes,no,yes,no,no,1,no,semi-furnished
6992292,3622,4,1,1,yes,no,no,yes,yes,0,yes,semi-furnished
2077306,11721,2,1,2,yes,no,yes,no,yes,1,no,semi-furnished
3534392,2875,3,1,1,yes,yes,no,no,yes,0,no,unfurnished
4217969,5817,3,1,1,yes,no,no,no,no,0,yes,unfurnished
8066226,2476,3,1,1,yes,no,no,no,yes,0,no,unfurnished
4177598,3648,2,2,2,yes,no,no,no,yes,2,yes,furnished
3688145,3233,2,1,3,yes,yes,no,no,yes,1,no,furnished
2831474,3103,2,1,3,yes,no,yes,no,no,0,no,furnished
5498537,3441,3,1,2,yes,no,no,no,no,0,no,unfurnished
4784188,6159,4,2,2,yes,no,yes,no,yes,1,yes,unfurnished
4415702,7394,4,2,2,yes,no,yes,no,no,0,yes,semi-furnished
3262121,3437,5,1,2,yes,no,yes,no,no,0,no,semi-furnished
4622638,3417,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
7807031,9595,2,2,2,yes,yes,no,no,no,1,no,furnished
4661162,2813,3,2,2,yes,no,yes,no,yes,2,no,semi-furnished
2626415,5727,2,1,1,yes,yes,yes,no,yes,0,no,unfurnished
3565790,2855,2,1,2,yes,no,yes,no,no,3,no,unfurnished
4904782,1797,4,1,4,yes,no,yes,no,yes,0,yes,furnished
3042896,10158,3,1,1,yes,yes,yes,no,no,0,no,furnished
2295868,9145,2,1,2,yes,no,no,no,yes,3,no,furnished
2922292,3706,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
1778246,3677,4,1,2,no,no,no,no,yes,0,no,unfurnished
3352718,4342,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
3573192,15960,2,1,2,yes,no,yes,no,no,2,no,furnished
3286705,4424,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2914607,4431,3,1,2,yes,no,yes,no,no,0,no,unfurnished
2734447,2718,2,2,2,no,yes,yes,no,yes,0,no,unfurnished
2588551,2744,2,1,2,yes,no,yes,no,no,1,no,semi-furnished
2590873,4543,3,1,1,no,no,no,yes,yes,2,no,semi-furnished
5626945,2067,3,1,2,yes,no,no,no,no,0,no,furnished
6715277,8266,4,1,2,yes,no,no,yes,yes,2,no,semi-furnished
2182388,5342,2,1,2,yes,yes,no,no,no,0,no,semi-furnished
1750000,3685,4,1,2,yes,no,no,no,no,0,no,furnished
3916757,4827,3,2,1,yes,no,yes,no,no,2,no,furnished
5635995,2447,2,1,1,yes,no,no,no,no,2,no,semi-furnished
5160165,3689,4,1,1,yes,yes,no,yes,no,0,no,furnished
5990332,2448,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
7935816,8415,2,1,2,no,no,no,no,no,3,no,unfurnished
1750000,6921,3,2,3,yes,yes,no,no,yes,0,no,semi-furnished
2608967,5460,3,1,1,yes,no,no,no,yes,2,no,unfurnished
1894079,5590,3,2,2,yes,no,yes,no,no,1,no,furnished
3982093,4991,2,1,1,yes,yes,yes,no,yes,1,no,furnished
3690198,3952,3,1,1,yes,yes,yes,no,yes,1,no,furnished
1750000,2282,3,3,1,yes,no,yes,no,no,0,no,furnished
2918854,6239,3,1,1,yes,yes,no,no,yes,2,yes,semi-furnished
1750000,8005,4,1,2,yes,no,no,no,yes,1,no,semi-furnished
5014471,4328,4,1,1,yes,yes,yes,no,yes,1,no,furnished
4089388,2453,3,1,2,yes,no,yes,no,no,0,no,unfurnished
9041314,7607,3,1,2,no,yes,no,no,no,2,no,unfurnished
2521488,6327,5,1,1,yes,no,yes,no,no,0,no,semi-furnished
3475908,4418,3,1,3,yes,no,yes,no,no,0,no,unfurnished
2034298,9532,4,1,1,yes,no,yes,no,no,0,no,semi-furnished
5900894,3815,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
1750000,8401,3,1,2,yes,yes,no,no,no,0,no,furnished
4980145,2947,3,2,3,yes,yes,no,no,yes,0,no,unfurnished
2910758,5521,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
1750000,8784,2,1,4,yes,no,yes,no,yes,0,no,furnished
5219835,5885,3,1,1,yes,no,no,no,no,1,no,furnished
1905147,7056,4,2,1,yes,no,no,no,no,2,no,furnished
2894724,4294,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
1750000,3319,3,1,2,yes,no,no,yes,yes,1,no,semi-furnished
5858219,11663,2,2,2,yes,no,no,no,no,1,no,semi-furnished
1750000,2585,4,1,2,yes,no,no,no,yes,1,no,semi-furnished
4173924,3750,4,1,1,yes,no,no,no,no,1,no,semi-furnished
7479915,7961,3,1,1,no,no,no,no,no,0,no,semi-furnished
3297392,5465,3,1,4,yes,no,yes,no,no,0,yes,unfurnished
3140416,7238,3,2,1,yes,no,no,yes,no,0,no,unfurnished
4353765,7746,3,1,3,yes,yes,no,no,no,2,no,unfurnished
1750000,8355,3,1,1,yes,no,no,no,no,0,yes,unfurnished
1750000,6576,3,1,2,yes,yes,no,no,no,2,yes,unfurnished
2187718,5518,2,1,2,yes,no,no,no,no,0,no,semi-furnished
4530661,3903,3,1,2,yes,yes,no,no,no,0,no,unfurnished
4337531,6876,2,1,1,no,no,no,no,no,0,yes,semi-furnished
4156991,5198,2,1,1,yes,no,yes,no,no,0,no,semi-furnished
3810489,3023,4,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
4909732,5898,3,2,2,yes,no,no,no,yes,0,no,semi-furnished
1750000,6074,4,1,3,yes,yes,yes,no,no,0,yes,furnished
1758799,13066,3,1,3,no,no,no,no,no,0,no,unfurnished
2525548,5456,3,1,2,yes,no,yes,no,yes,3,no,unfurnished
2458198,6500,4,1,2,yes,no,no,no,yes,0,no,unfurnished
5858549,1797,4,1,4,yes,no,no,no,yes,1,no,furnished
2947132,2503,4,2,4,no,no,no,no,no,2,yes,unfurnished
1750000,4949,4,2,1,no,no,no,no,yes,1,no,semi-furnished
1750000,5951,2,1,4,yes,yes,no,no,yes,0,no,semi-furnished
1750000,6598,2,2,1,yes,no,no,no,yes,0,no,furnished
5889735,5109,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
3198156,5645,3,1,1,yes,no,no,no,no,2,no,furnished
2036746,3891,5,1,4,yes,no,no,no,no,1,no,semi-furnished
1750000,6656,3,2,1,yes,no,yes,no,no,1,no,unfurnished
7596160,5662,5,2,1,no,no,no,no,yes,2,no,unfurnished
1750000,7259,5,1,1,yes,no,no,no,no,0,no,unfurnished
2596373,5059,3,1,2,yes,no,no,no,no,0,no,unfurnished
2244483,4178,2,1,1,yes,no,yes,no,no,0,no,semi-furnished
2434412,6074,2,1,1,yes,no,no,no,no,2,yes,unfurnished
4938681,5845,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
3924562,7450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3288890,7184,3,3,1,yes,no,no,no,yes,1,no,furnished
2713036,16055,3,1,2,yes,no,yes,no,no,1,no,unfurnished
1750000,4637,4,2,2,yes,no,yes,no,yes,1,no,furnished
5181535,2886,2,1,4,yes,no,yes,yes,no,0,no,semi-furnished
3329109,7691,2,1,2,yes,no,no,no,no,0,no,unfurnished
9046581,7790,2,1,2,yes,yes,yes,no,no,0,no,furnished
1971743,5556,2,1,2,yes,no,no,no,no,2,no,semi-furnished
3574675,3862,2,2,3,yes,yes,yes,no,no,2,yes,furnished
1889060,5463,2,1,2,no,no,no,no,no,0,no,semi-furnished
1750000,4127,2,1,2,yes,no,yes,no,no,0,no,furnished
3253022,3279,2,1,4,yes,no,no,no,yes,0,no,semi-furnished
2598128,5630,5,1,1,yes,no,no,no,yes,0,yes,furnished
3718846,6139,4,1,2,yes,no,no,no,no,3,no,semi-furnished
1750000,13077,2,1,1,no,no,no,no,yes,2,no,furnished
5748120,6363,2,2,2,yes,no,yes,no,no,0,no,furnished
2160597,8553,4,3,2,yes,yes,no,no,yes,2,yes,semi-furnished
4640520,11575,2,1,2,yes,no,no,no,no,0,no,semi-furnished
2778222,6339,2,2,1,yes,no,yes,no,no,1,no,semi-furnished
2714487,2524,2,1,1,yes,no,no,no,no,3,yes,semi-furnished
2249844,5696,6,1,4,yes,yes,yes,yes,no,2,no,furnished
5014039,3227,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
2413868,4617,2,1,1,yes,no,yes,no,yes,1,yes,furnished
5156778,8943,5,2,1,yes,no,no,no,yes,0,no,unfurnished
2238235,8413,2,3,2,yes,no,no,no,yes,0,yes,semi-furnished
2509793,10874,3,1,2,no,no,no,no,yes,0,no,unfurnished
2253973,2836,3,1,1,yes,yes,no,no,yes,2,no,furnished
1750000,3527,2,1,2,yes,no,no,no,no,0,yes,furnished
2662640,9099,3,1,1,yes,no,no,no,yes,2,no,unfurnished
3221488,5849,3,1,1,yes,no,no,no,yes,3,no,semi-furnished
4372469,7243,4,1,2,yes,no,no,no,yes,0,no,furnished
3413501,9369,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
3726647,3755,3,1,1,yes,yes,no,no,no,1,yes,unfurnished
4194559,5210,4,1,1,no,no,yes,no,yes,0,no,semi-furnished
2186816,3199,4,1,1,yes,no,no,no,no,1,no,semi-furnished
2900235,11299,4,1,2,yes,no,no,yes,no,3,no,furnished
2612275,4610,1,1,2,yes,no,no,no,no,0,no,unfurnished
2812210,2631,2,1,1,no,yes,no,no,no,0,no,semi-furnished
5199592,5996,2,1,1,no,no,no,no,yes,1,no,unfurnished
1940152,5983,3,1,2,no,yes,no,no,no,2,no,semi-furnished
7960288,8033,3,2,2,yes,no,no,no,yes,3,no,unfurnished
1750000,1650,4,1,3,yes,no,yes,no,no,0,yes,semi-furnished
7456897,5549,2,1,1,yes,no,yes,no,yes,1,no,semi-furnished
1750000,14221,3,4,1,yes,no,yes,no,no,1,yes,semi-furnished
1750000,7902,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
2850870,4286,2,1,1,yes,yes,yes,no,no,1,no,semi-furnished
5472896,2781,3,1,1,yes,no,no,no,yes,0,no,unfurnished
1750000,8966,4,2,1,yes,no,no,no,no,0,no,semi-furnished
5847855,9804,3,2,1,yes,no,no,no,no,2,no,semi-furnished
2419534,6309,3,2,2,yes,no,no,no,no,0,no,furnished
4476010,2671,3,1,2,yes,no,no,no,no,2,no,unfurnished
1750000,8412,3,1,2,yes,yes,no,yes,no,0,no,furnished
5563878,11629,3,2,4,yes,no,no,no,yes,1,no,semi-furnished
3141760,5570,3,2,3,yes,yes,yes,no,no,0,no,furnished
1750000,4145,4,2,2,yes,no,yes,no,no,0,yes,furnished
7021450,15690,3,2,1,yes,no,no,no,yes,0,no,unfurnished
2949234,7387,3,1,3,no,no,no,no,no,1,no,unfurnished
1750000,5601,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
9847973,7886,3,1,4,yes,no,yes,no,yes,3,no,unfurnished
2789659,8613,4,1,2,yes,no,no,no,yes,1,no,furnished
1750000,6023,4,2,1,yes,no,no,no,yes,0,no,furnished
6256523,1650,2,2,1,no,no,no,no,no,0,no,semi-furnished
3289961,4513,3,1,1,yes,yes,no,no,no,0,no,semi-furnished
7565849,4598,3,2,4,yes,no,yes,no,yes,0,yes,semi-furnished
2964517,5980,3,1,1,no,yes,no,no,no,1,no,unfurnished
2824558,6402,3,1,1,yes,no,no,no,no,0,no,furnished
6057541,3581,3,1,4,yes,no,no,no,no,0,no,semi-furnished
1984235,10479,4,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
3347567,9696,4,1,2,yes,no,yes,no,no,1,no,semi-furnished
1750000,4112,2,2,1,yes,yes,yes,no,no,0,yes,furnished
3578387,6846,3,2,2,yes,no,no,no,yes,2,no,semi-furnished
4014085,4698,3,2,1,yes,no,yes,no,no,0,no,unfurnished
9478310,3717,5,2,1,yes,no,no,no,no,1,no,unfurnished
2081523,5450,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
6768526,4735,4,1,1,yes,no,yes,no,no,0,no,furnished
2508944,3774,3,1,1,yes,no,yes,no,yes,0,no,semi-furnished
1921806,5004,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
1883055,5016,2,1,3,yes,no,yes,no,yes,0,yes,unfurnished
3171456,13889,2,2,2,yes,no,no,no,no,0,no,semi-furnished
1750000,4455,3,2,1,no,no,no,no,yes,0,yes,semi-furnished
2946874,5451,3,1,1,yes,no,no,no,no,0,no,semi-furnished
2374524,4582,3,1,1,yes,yes,no,no,yes,2,no,semi-furnished
1750000,3796,2,1,4,yes,no,no,no,no,1,no,unfurnished
2613283,4225,4,1,4,yes,yes,yes,no,no,1,no,unfurnished
4564725,6670,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
5307358,8168,3,1,1,yes,no,yes,no,yes,1,no,unfurnished
1914400,10833,2,1,2,yes,no,no,no,no,1,no,semi-furnished
1750000,2434,4,1,1,yes,yes,no,no,no,3,yes,furnished
4162240,3621,2,1,1,yes,yes,no,no,no,2,no,unfurnished
8198858,7904,4,2,1,yes,no,no,no,no,2,no,furnished
7294370,5390,5,1,2,yes,no,no,no,yes,0,no,unfurnished
3804570,7642,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
3234950,4964,4,1,3,yes,no,no,no,no,0,no,furnished
1750000,8027,4,1,1,yes,no,no,no,no,0,no,semi-furnished
4379325,5283,4,1,1,yes,no,yes,no,no,0,yes,semi-furnished
5668712,5254,4,1,1,yes,no,yes,no,yes,0,yes,furnished
3122937,2682,3,3,1,yes,no,no,no,yes,0,yes,unfurnished
4179677,8329,4,1,1,no,no,no,no,no,1,no,semi-furnished
3693785,4803,4,1,2,no,no,yes,no,no,2,no,unfurnished
6079995,3718,3,2,1,yes,no,no,no,no,1,yes,semi-furnished
2967506,8124,4,1,1,yes,no,no,no,no,0,no,furnished
2308799,7177,4,1,2,yes,no,no,no,no,2,yes,semi-furnished
5927001,6053,5,1,1,yes,no,no,no,yes,1,no,unfurnished
5533886,4101,2,1,1,yes,no,no,yes,no,1,no,semi-furnished
10426149,9300,2,2,1,yes,yes,no,no,yes,1,yes,semi-furnished
2314108,2995,4,1,4,yes,yes,no,no,yes,2,no,unfurnished
10769850,2710,3,2,3,yes,no,yes,no,no,0,yes,unfurnished
3554440,9348,3,1,2,yes,no,no,no,yes,0,no,furnished
3443701,7074,3,1,1,yes,no,no,no,no,2,no,unfurnished
2350210,3955,4,1,3,yes,no,yes,no,yes,0,no,unfurnished
3042299,4754,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
3567736,3851,3,1,4,yes,yes,no,no,no,0,no,furnished
8525141,9244,3,1,2,yes,no,no,no,yes,2,yes,furnished
2094882,6242,3,1,4,yes,no,no,no,yes,2,no,unfurnished
3399596,5352,5,1,1,yes,yes,yes,no,no,0,no,furnished
3191188,6215,2,1,1,yes,no,yes,no,no,0,yes,unfurnished
2564766,6720,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
2519524,5400,2,3,3,yes,no,yes,no,yes,1,no,unfurnished
3118791,7815,4,1,2,yes,no,no,no,no,0,no,furnished
3025982,3263,2,3,2,no,no,no,no,yes,0,no,semi-furnished
1750000,7164,3,3,2,yes,no,yes,yes,yes,0,no,unfurnished
4166594,5485,4,1,2,yes,no,no,no,no,1,no,semi-furnished
4120241,5086,3,1,1,yes,no,yes,no,yes,0,no,unfurnished
4735317,6085,2,1,1,yes,no,no,no,yes,0,yes,furnished
2965324,5370,3,1,1,yes,no,no,no,no,0,yes,unfurnished
1956006,13405,1,1,1,yes,yes,no,no,yes,0,no,furnished
3218548,8379,3,2,1,yes,yes,no,no,no,2,no,furnished
2193209,4493,2,2,2,yes,no,yes,no,no,3,yes,furnished
1931849,7054,2,2,2,yes,no,yes,no,no,1,yes,furnished
4825581,8254,4,2,2,yes,no,no,no,no,0,no,unfurnished
4972026,8896,2,1,2,yes,no,no,no,no,0,yes,furnished
11550406,2266,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3116031,5596,2,2,2,yes,yes,no,no,no,0,no,furnished
1750000,3828,2,1,1,yes,no,yes,no,no,0,yes,unfurnished
5084732,12045,3,2,3,no,yes,yes,no,yes,0,no,furnished
4262513,9616,3,2,2,yes,no,no,no,yes,2,no,semi-furnished
8694380,5482,4,2,2,yes,no,no,no,yes,2,yes,semi-furnished
2175675,13470,3,1,2,yes,no,yes,no,yes,2,no,semi-furnished
8593220,5622,4,2,3,yes,no,no,no,no,0,yes,semi-furnished
2736788,4459,3,1,1,no,no,no,no,no,0,no,semi-furnished
2404558,8576,3,2,2,yes,no,no,no,no,0,no,semi-furnished
6206785,3749,3,1,1,no,yes,yes,no,no,0,yes,furnished
6314676,11186,3,1,2,yes,no,no,no,yes,0,yes,furnished
