License_ID,State,Latitude
License_076,Taranaki (1),-66.68121337890625
License_077,Auckland (7),-67.05119323730469
License_078,Bay Of Plenty (2),-67.42117309570312
License_079,Auckland (7),-67.79115295410156
License_080,Bay Of Plenty (2),-68.1611328125
License_081,Canterbury (4),-68.53112030029297
License_082,Gisborne (3),-68.9011001586914
License_083,Manawatu Wanganui (6),-69.27108001708984
License_084,Marlborough (1),-69.64105987548828
License_085,Nelson (1),-70.01103973388672
License_086,Northland (1),-70.38101959228516
License_087,Otago (3),-70.7509994506836
License_088,Southland (1),-71.12097930908203
License_089,Taranaki (1),-71.49095916748047
License_090,Auckland (7),-71.8609390258789
License_091,Bay Of Plenty (2),-72.23091888427734
License_092,Auckland (7),-72.60089874267578
License_093,Bay Of Plenty (2),-72.97087860107422
License_094,Canterbury (4),-73.34085845947266
License_095,Gisborne (3),-73.7108383178711
License_096,Manawatu Wanganui (6),-74.08081817626953
License_097,Marlborough (1),-74.45079803466797
License_098,Nelson (1),-74.8207778930664
License_099,Northland (1),-75.19075775146484
License_100,Otago (3),-75.56073760986328
License_1000,Northland (1),-408.5429382324219
License_1001,Otago (3),-408.9129333496094
License_1002,Southland (1),-409.2829284667969
License_1003,Taranaki (1),-409.65289306640625
License_1004,Auckland (7),-410.02288818359375
License_1005,Bay Of Plenty (2),-410.3928527832031
License_1006,Auckland (7),-410.7628479003906
License_1007,Bay Of Plenty (2),-411.1328125
License_1008,Canterbury (4),-411.5028076171875
License_1009,Gisborne (3),-411.8727722167969
License_101,Southland (1),-75.93072509765625
License_1010,Manawatu Wanganui (6),-412.2427673339844
License_1011,Marlborough (1),-412.61273193359375
License_1012,Nelson (1),-412.98272705078125
License_1013,Northland (1),-413.3526916503906
License_1014,Otago (3),-413.7226867675781
License_1015,Southland (1),-414.0926513671875
License_1016,Taranaki (1),-414.462646484375
License_1017,Auckland (7),-414.8326110839844
License_1018,Bay Of Plenty (2),-415.2026062011719
License_1019,Auckland (7),-415.57257080078125
License_102,Taranaki (1),-76.30070495605469
License_1020,Bay Of Plenty (2),-415.94256591796875
License_1021,Canterbury (4),-416.3125305175781
License_1022,Gisborne (3),-416.6825256347656
License_1023,Manawatu Wanganui (6),-417.052490234375
License_1024,Marlborough (1),-417.4224853515625
License_1025,Nelson (1),-417.7924499511719
License_1026,Northland (1),-418.1624450683594
License_1027,Otago (3),-418.53240966796875
License_1028,Southland (1),-418.90240478515625
License_1029,Taranaki (1),-419.2723693847656
License_103,Auckland (7),-76.67068481445312
License_1030,Auckland (7),-419.6423645019531
License_1031,Bay Of Plenty (2),-420.0123291015625
License_1032,Auckland (7),-420.38232421875
License_1033,Bay Of Plenty (2),-420.7522888183594
License_1034,Canterbury (4),-421.1222839355469
License_1035,Gisborne (3),-421.49224853515625
License_1036,Manawatu Wanganui (6),-421.86224365234375
License_1037,Marlborough (1),-422.2322082519531
License_1038,Nelson (1),-422.6022033691406
License_1039,Northland (1),-422.97216796875
License_104,Bay Of Plenty (2),-77.04066467285156
License_1040,Otago (3),-423.3421630859375
License_1041,Southland (1),-423.7121276855469
License_1042,Taranaki (1),-424.0821228027344
License_1043,Auckland (7),-424.4521179199219
License_1044,Bay Of Plenty (2),-424.82208251953125
License_1045,Auckland (7),-425.19207763671875
License_1046,Bay Of Plenty (2),-425.5620422363281
License_1047,Canterbury (4),-425.9320373535156
License_1048,Gisborne (3),-426.302001953125
License_1049,Manawatu Wanganui (6),-426.6719970703125
License_105,Auckland (7),-77.41064453125
License_1050,Marlborough (1),-427.0419616699219
License_1051,Nelson (1),-427.4119567871094
License_1052,Northland (1),-427.78192138671875
License_1053,Otago (3),-428.15191650390625
License_1054,Southland (1),-428.5218811035156
License_1055,Taranaki (1),-428.8918762207031
License_1056,Auckland (7),-429.2618408203125
License_1057,Bay Of Plenty (2),-429.6318359375
License_1058,Auckland (7),-430.0018005371094
License_1059,Bay Of Plenty (2),-430.3717956542969
License_106,Bay Of Plenty (2),-77.78062438964844
License_1060,Canterbury (4),-430.74176025390625
License_1061,Gisborne (3),-431.11175537109375
License_1062,Manawatu Wanganui (6),-431.4817199707031
License_1063,Marlborough (1),-431.8517150878906
License_1064,Nelson (1),-432.2216796875
License_1065,Northland (1),-432.5916748046875
License_1066,Otago (3),-432.9616394042969
License_1067,Southland (1),-433.3316345214844
License_1068,Taranaki (1),-433.70159912109375
License_1069,Auckland (7),-434.07159423828125
License_107,Canterbury (4),-78.15060424804688
License_1070,Bay Of Plenty (2),-434.4415588378906
License_1071,Auckland (7),-434.8115539550781
License_1072,Bay Of Plenty (2),-435.1815185546875
License_1073,Canterbury (4),-435.551513671875
License_1074,Gisborne (3),-435.9214782714844
License_1075,Manawatu Wanganui (6),-436.2914733886719
License_1076,Marlborough (1),-436.66143798828125
License_1077,Nelson (1),-437.03143310546875
License_1078,Northland (1),-437.4013977050781
License_1079,Otago (3),-437.7713928222656
License_108,Gisborne (3),-78.52058410644531
License_1080,Southland (1),-438.141357421875
License_1081,Taranaki (1),-438.5113525390625
License_1082,Auckland (7),-438.88134765625
License_1083,Bay Of Plenty (2),-439.2513122558594
License_1084,Auckland (7),-439.6213073730469
License_1085,Bay Of Plenty (2),-439.99127197265625
License_1086,Canterbury (4),-440.36126708984375
License_1087,Gisborne (3),-440.7312316894531
License_1088,Manawatu Wanganui (6),-441.1012268066406
License_1089,Marlborough (1),-441.47119140625
License_109,Manawatu Wanganui (6),-78.89056396484375
License_1090,Nelson (1),-441.8411865234375
License_1091,Northland (1),-442.2111511230469
License_1092,Otago (3),-442.5811462402344
License_1093,Southland (1),-442.95111083984375
License_1094,Taranaki (1),-443.32110595703125
License_1095,Auckland (7),-443.6910705566406
License_1096,Bay Of Plenty (2),-444.0610656738281
License_1097,Auckland (7),-444.4310302734375
License_1098,Bay Of Plenty (2),-444.801025390625
License_1099,Canterbury (4),-445.1709899902344
License_110,Marlborough (1),-79.26054382324219
License_1100,Gisborne (3),-445.5409851074219
License_1101,Manawatu Wanganui (6),-445.91094970703125
License_1102,Marlborough (1),-446.28094482421875
License_1103,Nelson (1),-446.6509094238281
License_1104,Northland (1),-447.0209045410156
License_1105,Auckland (7),-447.390869140625
License_1106,Bay Of Plenty (2),-447.7608642578125
License_1107,Canterbury (4),-448.1308288574219
License_1108,Gisborne (3),-448.5008239746094
License_1109,Manawatu Wanganui (6),-448.87078857421875
License_111,Nelson (1),-79.63052368164062
License_1110,Marlborough (1),-449.24078369140625
License_1111,Nelson (1),-449.6107482910156
License_1112,Northland (1),-449.9807434082031
License_1113,Otago (3),-450.3507080078125
License_1114,Southland (1),-450.720703125
License_1115,Taranaki (1),-451.0906677246094
License_1116,Auckland (7),-451.4606628417969
License_1117,Bay Of Plenty (2),-451.83062744140625
License_1118,Auckland (7),-452.20062255859375
License_1119,Bay Of Plenty (2),-452.5705871582031
License_112,Northland (1),-80.00050354003906
License_1120,Canterbury (4),-452.9405822753906
License_1121,Gisborne (3),-453.310546875
License_1122,Manawatu Wanganui (6),-453.6805419921875
License_1123,Marlborough (1),-454.050537109375
License_1124,Nelson (1),-454.4205017089844
License_1125,Northland (1),-454.7904968261719
License_1126,Otago (3),-455.16046142578125
License_1127,Southland (1),-455.53045654296875
License_1128,Taranaki (1),-455.9004211425781
License_1129,Auckland (7),-456.2704162597656
License_113,Otago (3),-80.3704833984375
License_1130,Bay Of Plenty (2),-456.640380859375
License_1131,Auckland (7),-457.0103759765625
License_1132,Bay Of Plenty (2),-457.3803405761719
License_1133,Canterbury (4),-457.7503356933594
License_1134,Gisborne (3),-458.12030029296875
License_1135,Manawatu Wanganui (6),-458.49029541015625
License_1136,Marlborough (1),-458.8602600097656
License_1137,Nelson (1),-459.2302551269531
License_1138,Northland (1),-459.6002197265625
License_1139,Otago (3),-459.97021484375
License_114,Southland (1),-80.74046325683594
License_1140,Southland (1),-460.3401794433594
License_1141,Taranaki (1),-460.7101745605469
License_1142,Auckland (7),-461.08013916015625
License_1143,Bay Of Plenty (2),-461.45013427734375
License_1144,Auckland (7),-461.8200988769531
License_1145,Bay Of Plenty (2),-462.1900939941406
License_1146,Canterbury (4),-462.56005859375
License_1147,Gisborne (3),-462.9300537109375
License_1148,Manawatu Wanganui (6),-463.3000183105469
License_1149,Marlborough (1),-463.6700134277344
License_115,Taranaki (1),-81.11044311523438
License_1150,Nelson (1),-464.03997802734375
License_1151,Northland (1),-464.40997314453125
License_1152,Otago (3),-464.7799377441406
License_1153,Southland (1),-465.1499328613281
License_1154,Taranaki (1),-465.5198974609375
License_1155,Auckland (7),-465.889892578125
License_1156,Bay Of Plenty (2),-466.2598571777344
License_1157,Auckland (7),-466.6298522949219
License_1158,Bay Of Plenty (2),-466.99981689453125
License_1159,Canterbury (4),-467.36981201171875
License_116,Auckland (7),-81.48042297363281
License_1160,Gisborne (3),-467.7397766113281
License_1161,Manawatu Wanganui (6),-468.1097717285156
License_1162,Marlborough (1),-468.479736328125
License_1163,Nelson (1),-468.8497314453125
License_1164,Northland (1),-469.2197265625
License_1165,Otago (3),-469.5896911621094
License_1166,Southland (1),-469.9596862792969
License_1167,Taranaki (1),-470.32965087890625
License_1168,Auckland (7),-470.69964599609375
License_1169,Bay Of Plenty (2),-471.0696105957031
License_117,Bay Of Plenty (2),-81.85040283203125
License_1170,Auckland (7),-471.4396057128906
License_1171,Bay Of Plenty (2),-471.8095703125
License_1172,Canterbury (4),-472.1795654296875
License_1173,Gisborne (3),-472.5495300292969
License_1174,Manawatu Wanganui (6),-472.9195251464844
License_1175,Marlborough (1),-473.28948974609375
License_1176,Nelson (1),-473.65948486328125
License_1177,Northland (1),-474.0294494628906
License_1178,Otago (3),-474.3994445800781
License_1179,Southland (1),-474.7694091796875
License_118,Auckland (7),-82.22038269042969
License_1180,Taranaki (1),-475.139404296875
License_1181,Auckland (7),-475.5093688964844
License_1182,Bay Of Plenty (2),-475.8793640136719
License_1183,Auckland (7),-476.24932861328125
License_1184,Bay Of Plenty (2),-476.61932373046875
License_1185,Canterbury (4),-476.9892883300781
License_1186,Gisborne (3),-477.3592834472656
License_1187,Manawatu Wanganui (6),-477.729248046875
License_1188,Marlborough (1),-478.0992431640625
License_1189,Nelson (1),-478.4692077636719
License_119,Bay Of Plenty (2),-82.59036254882812
License_1190,Northland (1),-478.8392028808594
License_1191,Otago (3),-479.20916748046875
License_1192,Southland (1),-479.57916259765625
License_1193,Taranaki (1),-479.9491271972656
License_1194,Auckland (7),-480.3191223144531
License_1195,Bay Of Plenty (2),-480.6890869140625
License_1196,Auckland (7),-481.05908203125
License_1197,Bay Of Plenty (2),-481.4290466308594
License_1198,Canterbury (4),-481.7990417480469
License_1199,Gisborne (3),-482.16900634765625
License_120,Canterbury (4),-82.96034240722656
License_1200,Manawatu Wanganui (6),-482.53900146484375
License_1201,Marlborough (1),-482.9089660644531
License_1202,Nelson (1),-483.2789611816406
License_1203,Northland (1),-483.6489562988281
License_1204,Otago (3),-484.0189208984375
License_1205,Southland (1),-484.388916015625
License_1206,Taranaki (1),-484.7588806152344
License_1207,Auckland (7),-485.1288757324219
License_1208,Bay Of Plenty (2),-485.49884033203125
License_1209,Auckland (7),-485.86883544921875
License_121,Gisborne (3),-83.330322265625
License_1210,Bay Of Plenty (2),-486.2388000488281
License_1211,Canterbury (4),-486.6087951660156
License_1212,Gisborne (3),-486.978759765625
License_1213,Manawatu Wanganui (6),-487.3487548828125
License_1214,Marlborough (1),-487.7187194824219
License_1215,Nelson (1),-488.0887145996094
License_1216,Northland (1),-488.45867919921875
License_1217,Otago (3),-488.82867431640625
License_1218,Southland (1),-489.1986389160156
License_1219,Taranaki (1),-489.5686340332031
License_122,Manawatu Wanganui (6),-83.70030975341797
License_1220,Auckland (7),-489.9385986328125
License_1221,Bay Of Plenty (2),-490.30859375
License_1222,Auckland (7),-490.6785583496094
License_1223,Bay Of Plenty (2),-491.0485534667969
License_1224,Canterbury (4),-491.41851806640625
License_1225,Gisborne (3),-491.78851318359375
License_1226,Manawatu Wanganui (6),-492.1584777832031
License_1227,Marlborough (1),-492.5284729003906
License_1228,Nelson (1),-492.8984375
License_1229,Northland (1),-493.2684326171875
License_123,Marlborough (1),-84.0702896118164
License_1230,Otago (3),-493.6383972167969
License_1231,Southland (1),-494.0083923339844
License_1232,Taranaki (1),-494.37835693359375
License_1233,Auckland (7),-494.74835205078125
License_1234,Bay Of Plenty (2),-495.1183166503906
License_1235,Auckland (7),-495.4883117675781
License_1236,Bay Of Plenty (2),-495.8582763671875
License_1237,Canterbury (4),-496.228271484375
License_1238,Gisborne (3),-496.5982360839844
License_1239,Manawatu Wanganui (6),-496.9682312011719
License_124,Nelson (1),-84.44026947021484
License_1240,Marlborough (1),-497.33819580078125
License_1241,Nelson (1),-497.70819091796875
License_1242,Northland (1),-498.0781555175781
License_1243,Auckland (7),-498.4481506347656
License_1244,Bay Of Plenty (2),-498.8181457519531
License_1245,Canterbury (4),-499.1881103515625
License_1246,Gisborne (3),-499.55810546875
License_1247,Manawatu Wanganui (6),-499.9280700683594
License_1248,Marlborough (1),-500.2980651855469
License_1249,Nelson (1),-500.66802978515625
License_125,Northland (1),-84.81024932861328
License_1250,Northland (1),-501.03802490234375
License_1251,Otago (3),-501.4079895019531
License_1252,Southland (1),-501.7779846191406
License_1253,Taranaki (1),-502.14794921875
License_1254,Auckland (7),-502.5179443359375
License_1255,Bay Of Plenty (2),-502.8879089355469
License_1256,Auckland (7),-503.2579040527344
License_1257,Bay Of Plenty (2),-503.62786865234375
License_1258,Canterbury (4),-503.99786376953125
License_1259,Gisborne (3),-504.3678283691406
License_126,Otago (3),-85.18022918701172
License_1260,Manawatu Wanganui (6),-504.7378234863281
License_1261,Marlborough (1),-505.1077880859375
License_1262,Nelson (1),-505.477783203125
License_1263,Northland (1),-505.8477478027344
License_1264,Otago (3),-506.2177429199219
License_1265,Southland (1),-506.58770751953125
License_1266,Taranaki (1),-506.95770263671875
License_1267,Auckland (7),-507.3276672363281
License_1268,Bay Of Plenty (2),-507.6976623535156
License_1269,Auckland (7),-508.067626953125
License_127,Southland (1),-85.55020904541016
License_1270,Bay Of Plenty (2),-508.4376220703125
License_1271,Canterbury (4),-508.8075866699219
License_1272,Gisborne (3),-509.1775817871094
License_1273,Manawatu Wanganui (6),-509.54754638671875
License_1274,Marlborough (1),-509.91754150390625
License_1275,Nelson (1),-510.2875061035156
License_1276,Northland (1),-510.6575012207031
License_1277,Otago (3),-511.0274658203125
License_1278,Southland (1),-511.3974609375
License_1279,Taranaki (1),-511.7674255371094
License_128,Taranaki (1),-85.9201889038086
License_1280,Auckland (7),-512.1373901367188
License_1281,Bay Of Plenty (2),-512.5073852539062
License_1282,Auckland (7),-512.8773803710938
License_1283,Bay Of Plenty (2),-513.2473754882812
License_1284,Canterbury (4),-513.6173706054688
License_1285,Gisborne (3),-513.9873046875
License_1286,Manawatu Wanganui (6),-514.3572998046875
License_1287,Marlborough (1),-514.727294921875
License_1288,Nelson (1),-515.0972900390625
License_1289,Northland (1),-515.4672241210938
License_129,Auckland (7),-86.29016876220703
License_1290,Otago (3),-515.8372192382812
License_1291,Southland (1),-516.2072143554688
License_1292,Taranaki (1),-516.5772094726562
License_1293,Auckland (7),-516.9471435546875
License_1294,Bay Of Plenty (2),-517.317138671875
License_1295,Auckland (7),-517.6871337890625
License_1296,Bay Of Plenty (2),-518.05712890625
License_1297,Canterbury (4),-518.4270629882812
License_1298,Gisborne (3),-518.7970581054688
License_1299,Manawatu Wanganui (6),-519.1670532226562
License_130,Bay Of Plenty (2),-86.66014862060547
License_1300,Marlborough (1),-519.5370483398438
License_1301,Nelson (1),-519.906982421875
License_1302,Northland (1),-520.2769775390625
License_1303,Otago (3),-520.64697265625
License_1304,Southland (1),-521.0169677734375
License_1305,Taranaki (1),-521.3869018554688
License_1306,Auckland (7),-521.7568969726562
License_1307,Bay Of Plenty (2),-522.1268920898438
License_1308,Auckland (7),-522.4968872070312
License_1309,Bay Of Plenty (2),-522.8668212890625
License_131,Auckland (7),-87.0301284790039
License_1310,Canterbury (4),-523.23681640625
License_1311,Gisborne (3),-523.6068115234375
License_1312,Manawatu Wanganui (6),-523.976806640625
License_1313,Marlborough (1),-524.3467407226562
License_1314,Nelson (1),-524.7167358398438
License_1315,Northland (1),-525.0867309570312
License_1316,Otago (3),-525.4567260742188
License_1317,Southland (1),-525.82666015625
License_1318,Taranaki (1),-526.1966552734375
License_1319,Auckland (7),-526.566650390625
License_132,Bay Of Plenty (2),-87.40010833740234
License_1320,Bay Of Plenty (2),-526.9366455078125
License_1321,Auckland (7),-527.3065795898438
License_1322,Bay Of Plenty (2),-527.6765747070312
License_1323,Canterbury (4),-528.0465698242188
License_1324,Gisborne (3),-528.4165649414062
License_1325,Manawatu Wanganui (6),-528.7865600585938
License_1326,Marlborough (1),-529.156494140625
License_1327,Nelson (1),-529.5264892578125
License_1328,Northland (1),-529.896484375
License_1329,Otago (3),-530.2664794921875
License_133,Canterbury (4),-87.77008819580078
License_1330,Southland (1),-530.6364135742188
License_1331,Taranaki (1),-531.0064086914062
License_1332,Auckland (7),-531.3764038085938
License_1333,Bay Of Plenty (2),-531.7463989257812
License_1334,Auckland (7),-532.1163330078125
License_1335,Bay Of Plenty (2),-532.486328125
License_1336,Canterbury (4),-532.8563232421875
License_1337,Gisborne (3),-533.226318359375
License_1338,Manawatu Wanganui (6),-533.5962524414062
License_1339,Marlborough (1),-533.9662475585938
License_134,Gisborne (3),-88.14006805419922
License_1340,Nelson (1),-534.3362426757812
License_1341,Northland (1),-534.7062377929688
License_1342,Otago (3),-535.076171875
License_1343,Southland (1),-535.4461669921875
License_1344,Taranaki (1),-535.816162109375
License_1345,Auckland (7),-536.1861572265625
License_1346,Bay Of Plenty (2),-536.5560913085938
License_1347,Auckland (7),-536.9260864257812
License_1348,Bay Of Plenty (2),-537.2960815429688
License_1349,Canterbury (4),-537.6660766601562
License_135,Manawatu Wanganui (6),-88.51004791259766
License_1350,Gisborne (3),-538.0360107421875
License_1351,Manawatu Wanganui (6),-538.406005859375
License_1352,Marlborough (1),-538.7760009765625
License_1353,Nelson (1),-539.14599609375
License_1354,Northland (1),-539.5159301757812
License_1355,Otago (3),-539.8859252929688
License_1356,Southland (1),-540.2559204101562
License_1357,Taranaki (1),-540.6259155273438
License_1358,Auckland (7),-540.995849609375
License_1359,Bay Of Plenty (2),-541.3658447265625
License_136,Marlborough (1),-88.8800277709961
License_1360,Auckland (7),-541.73583984375
License_1361,Bay Of Plenty (2),-542.1058349609375
License_1362,Canterbury (4),-542.4757690429688
License_1363,Gisborne (3),-542.8457641601562
License_1364,Manawatu Wanganui (6),-543.2157592773438
License_1365,Marlborough (1),-543.5857543945312
License_1366,Nelson (1),-543.9557495117188
License_1367,Northland (1),-544.32568359375
License_1368,Otago (3),-544.6956787109375
License_1369,Southland (1),-545.065673828125
License_137,Nelson (1),-89.25000762939453
License_1370,Taranaki (1),-545.4356689453125
License_1371,Auckland (7),-545.8056030273438
License_1372,Bay Of Plenty (2),-546.1755981445312
License_1373,Auckland (7),-546.5455932617188
License_1374,Bay Of Plenty (2),-546.9155883789062
License_1375,Canterbury (4),-547.2855224609375
License_1376,Gisborne (3),-547.655517578125
License_1377,Manawatu Wanganui (6),-548.0255126953125
License_1378,Marlborough (1),-548.3955078125
License_1379,Nelson (1),-548.7654418945312
License_138,Northland (1),-89.61998748779297
License_1380,Northland (1),-549.1354370117188
License_1381,Auckland (7),-549.5054321289062
License_1382,Bay Of Plenty (2),-549.8754272460938
License_1383,Canterbury (4),-550.245361328125
License_1384,Gisborne (3),-550.6153564453125
License_1385,Manawatu Wanganui (6),-550.9853515625
License_1386,Marlborough (1),-551.3553466796875
License_1387,Nelson (1),-551.7252807617188
License_1388,Northland (1),-552.0952758789062
License_1389,Otago (3),-552.4652709960938
License_139,Auckland (7),-89.9899673461914
License_1390,Southland (1),-552.8352661132812
License_1391,Taranaki (1),-553.2052001953125
License_1392,Auckland (7),-553.5751953125
License_1393,Bay Of Plenty (2),-553.9451904296875
License_1394,Auckland (7),-554.315185546875
License_1395,Bay Of Plenty (2),-554.6851196289062
License_1396,Canterbury (4),-555.0551147460938
License_1397,Gisborne (3),-555.4251098632812
License_1398,Manawatu Wanganui (6),-555.7951049804688
License_1399,Marlborough (1),-556.1650390625
License_140,Bay Of Plenty (2),-90.35994720458984
License_1400,Nelson (1),-556.5350341796875
License_1401,Northland (1),-556.905029296875
License_1402,Otago (3),-557.2750244140625
License_1403,Southland (1),-557.6449584960938
License_1404,Taranaki (1),-558.0149536132812
License_1405,Auckland (7),-558.3849487304688
License_1406,Bay Of Plenty (2),-558.7549438476562
License_1407,Auckland (7),-559.1249389648438
License_1408,Bay Of Plenty (2),-559.494873046875
License_1409,Canterbury (4),-559.8648681640625
License_141,Canterbury (4),-90.72992706298828
License_1410,Gisborne (3),-560.23486328125
License_1411,Manawatu Wanganui (6),-560.6048583984375
License_1412,Marlborough (1),-560.9747924804688
License_1413,Nelson (1),-561.3447875976562
License_1414,Northland (1),-561.7147827148438
License_1415,Otago (3),-562.0847778320312
License_1416,Southland (1),-562.4547119140625
License_1417,Taranaki (1),-562.82470703125
License_1418,Auckland (7),-563.1947021484375
License_1419,Bay Of Plenty (2),-563.564697265625
License_142,Gisborne (3),-91.09991455078125
License_1420,Auckland (7),-563.9346313476562
License_1421,Bay Of Plenty (2),-564.3046264648438
License_1422,Canterbury (4),-564.6746215820312
License_1423,Gisborne (3),-565.0446166992188
License_1424,Manawatu Wanganui (6),-565.41455078125
License_1425,Marlborough (1),-565.7845458984375
License_1426,Nelson (1),-566.154541015625
License_1427,Northland (1),-566.5245361328125
License_1428,Otago (3),-566.8944702148438
License_1429,Southland (1),-567.2644653320312
License_143,Manawatu Wanganui (6),-91.46989440917969
License_1430,Taranaki (1),-567.6344604492188
License_1431,Auckland (7),-568.0044555664062
License_1432,Bay Of Plenty (2),-568.3743896484375
License_1433,Auckland (7),-568.744384765625
License_1434,Bay Of Plenty (2),-569.1143798828125
License_1435,Canterbury (4),-569.484375
License_1436,Gisborne (3),-569.8543090820312
License_1437,Manawatu Wanganui (6),-570.2243041992188
License_1438,Marlborough (1),-570.5942993164062
License_1439,Nelson (1),-570.9642944335938
License_144,Marlborough (1),-91.83987426757812
License_1440,Northland (1),-571.334228515625
License_1441,Otago (3),-571.7042236328125
License_1442,Southland (1),-572.07421875
License_1443,Taranaki (1),-572.4442138671875
License_1444,Auckland (7),-572.8141479492188
License_1445,Bay Of Plenty (2),-573.1841430664062
License_1446,Auckland (7),-573.5541381835938
License_1447,Bay Of Plenty (2),-573.9241333007812
License_1448,Canterbury (4),-574.2941284179688
License_1449,Gisborne (3),-574.6640625
License_145,Nelson (1),-92.20985412597656
License_1450,Manawatu Wanganui (6),-575.0340576171875
License_1451,Marlborough (1),-575.404052734375
License_1452,Nelson (1),-575.7740478515625
License_1453,Northland (1),-576.1439819335938
License_1454,Otago (3),-576.5139770507812
License_1455,Southland (1),-576.8839721679688
License_1456,Taranaki (1),-577.2539672851562
License_1457,Auckland (7),-577.6239013671875
License_1458,Bay Of Plenty (2),-577.993896484375
License_1459,Auckland (7),-578.3638916015625
License_146,Northland (1),-92.579833984375
License_1460,Bay Of Plenty (2),-578.73388671875
License_1461,Canterbury (4),-579.1038208007812
License_1462,Gisborne (3),-579.4738159179688
License_1463,Manawatu Wanganui (6),-579.8438110351562
License_1464,Marlborough (1),-580.2138061523438
License_1465,Nelson (1),-580.583740234375
License_1466,Northland (1),-580.9537353515625
License_1467,Otago (3),-581.32373046875
License_1468,Southland (1),-581.6937255859375
License_1469,Taranaki (1),-582.0636596679688
License_147,Otago (3),-92.94981384277344
License_1470,Auckland (7),-582.4336547851562
License_1471,Bay Of Plenty (2),-582.8036499023438
License_1472,Auckland (7),-583.1736450195312
License_1473,Bay Of Plenty (2),-583.5435791015625
License_1474,Canterbury (4),-583.91357421875
License_1475,Gisborne (3),-584.2835693359375
License_1476,Manawatu Wanganui (6),-584.653564453125
License_1477,Marlborough (1),-585.0234985351562
License_1478,Nelson (1),-585.3934936523438
License_1479,Northland (1),-585.7634887695312
License_148,Southland (1),-93.31979370117188
License_1480,Otago (3),-586.1334838867188
License_1481,Southland (1),-586.50341796875
License_1482,Taranaki (1),-586.8734130859375
License_1483,Auckland (7),-587.243408203125
License_1484,Bay Of Plenty (2),-587.6134033203125
License_1485,Auckland (7),-587.9833374023438
License_1486,Bay Of Plenty (2),-588.3533325195312
License_1487,Canterbury (4),-588.7233276367188
License_1488,Gisborne (3),-589.0933227539062
