vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,owner_id,price_id,Engine_ID,License_ID,Dim_01_id,Dim_02_id,Dim_03_id,Dim_04_id,Dim_05_id,Dim_06_id,Dim_07_id,Dim_08_id,Dim_09_id
17,Trailer,623,2021,BSTB85B,Silver,2021-10-10,102,Owner17,price_17,Engine_017,License_017,Dim_01_017,Dim_02_017,Dim_03_017,Dim_04_017,Dim_05_017,Dim_06_017,Dim_07_017,Dim_08_017,Dim_09_017
18,Boat Trailer,623,2004,BOAT,White,2021-10-07,104,Owner18,price_18,Engine_018,License_018,Dim_01_018,Dim_02_018,Dim_03_018,Dim_04_018,Dim_05_018,Dim_06_018,Dim_07_018,Dim_08_018,Dim_09_018
19,Trailer,623,2014,DOMESTIC TRAILER,White,2022-02-24,113,Owner19,price_19,Engine_019,License_019,Dim_01_019,Dim_02_019,Dim_03_019,Dim_04_019,Dim_05_019,Dim_06_019,Dim_07_019,Dim_08_019,Dim_09_019
20,Boat Trailer,623,2018,APS SEADOO,Silver,2021-11-08,114,Owner20,price_20,Engine_020,License_020,Dim_01_020,Dim_02_020,Dim_03_020,Dim_04_020,Dim_05_020,Dim_06_020,Dim_07_020,Dim_08_020,Dim_09_020
21,Roadbike,625,2002,THUNDERBIRD,Silver,2022-02-11,101,Owner21,price_21,Engine_021,License_021,Dim_01_021,Dim_02_021,Dim_03_021,Dim_04_021,Dim_05_021,Dim_06_021,Dim_07_021,Dim_08_021,Dim_09_021
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,2021-11-22,104,Owner22,price_22,Engine_022,License_022,Dim_01_022,Dim_02_022,Dim_03_022,Dim_04_022,Dim_05_022,Dim_06_022,Dim_07_022,Dim_08_022,Dim_09_022
23,Trailer,623,2015,LOCAL,Silver,2022-01-27,114,Owner23,price_23,Engine_023,License_023,Dim_01_023,Dim_02_023,Dim_03_023,Dim_04_023,Dim_05_023,Dim_06_023,Dim_07_023,Dim_08_023,Dim_09_023
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,2021-11-12,102,Owner24,price_24,Engine_024,License_024,Dim_01_024,Dim_02_024,Dim_03_024,Dim_04_024,Dim_05_024,Dim_06_024,Dim_07_024,Dim_08_024,Dim_09_024
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,2021-10-08,106,Owner25,price_25,Engine_025,License_025,Dim_01_025,Dim_02_025,Dim_03_025,Dim_04_025,Dim_05_025,Dim_06_025,Dim_07_025,Dim_08_025,Dim_09_025
26,Trailer,623,2017,EASY TILT,Silver,2022-03-04,108,Owner26,price_26,Engine_026,License_026,Dim_01_026,Dim_02_026,Dim_03_026,Dim_04_026,Dim_05_026,Dim_06_026,Dim_07_026,Dim_08_026,Dim_09_026
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,2022-02-27,103,Owner27,price_27,Engine_027,License_027,Dim_01_027,Dim_02_027,Dim_03_027,Dim_04_027,Dim_05_027,Dim_06_027,Dim_07_027,Dim_08_027,Dim_09_027
28,Trailer,623,2018,CONDOR,Silver,2022-02-01,109,Owner28,price_28,Engine_028,License_028,Dim_01_028,Dim_02_028,Dim_03_028,Dim_04_028,Dim_05_028,Dim_06_028,Dim_07_028,Dim_08_028,Dim_09_028
29,Trailer,623,2018,HOMEBUILT,Silver,2021-11-01,104,Owner29,price_29,Engine_029,License_029,Dim_01_029,Dim_02_029,Dim_03_029,Dim_04_029,Dim_05_029,Dim_06_029,Dim_07_029,Dim_08_029,Dim_09_029
30,Trailer,623,2018,PRO COMMERCIAL,Silver,2021-12-21,102,Owner30,price_30,Engine_030,License_030,Dim_01_030,Dim_02_030,Dim_03_030,Dim_04_030,Dim_05_030,Dim_06_030,Dim_07_030,Dim_08_030,Dim_09_030
31,Trailer,623,2018,FACTORY,Grey,2022-01-03,102,Owner31,price_31,Engine_031,License_031,Dim_01_031,Dim_02_031,Dim_03_031,Dim_04_031,Dim_05_031,Dim_06_031,Dim_07_031,Dim_08_031,Dim_09_031
32,Trailer,549,1998,TRAILER,Green,2021-10-21,114,Owner32,price_32,Engine_032,License_032,Dim_01_032,Dim_02_032,Dim_03_032,Dim_04_032,Dim_05_032,Dim_06_032,Dim_07_032,Dim_08_032,Dim_09_032
33,Boat Trailer,623,2017,JFK JETSKI,Grey,2022-02-15,104,Owner33,price_33,Engine_033,License_033,Dim_01_033,Dim_02_033,Dim_03_033,Dim_04_033,Dim_05_033,Dim_06_033,Dim_07_033,Dim_08_033,Dim_09_033
34,Trailer,623,2021,BST 2021D,Silver,2022-01-05,102,Owner34,price_34,Engine_034,License_034,Dim_01_034,Dim_02_034,Dim_03_034,Dim_04_034,Dim_05_034,Dim_06_034,Dim_07_034,Dim_08_034,Dim_09_034
35,Trailer,514,2021,TANDEM,Silver,2022-04-05,114,Owner35,price_35,Engine_035,License_035,Dim_01_035,Dim_02_035,Dim_03_035,Dim_04_035,Dim_05_035,Dim_06_035,Dim_07_035,Dim_08_035,Dim_09_035
36,Trailer,623,2018,HOMEMADE,Grey,2022-02-17,103,Owner36,price_36,Engine_036,License_036,Dim_01_036,Dim_02_036,Dim_03_036,Dim_04_036,Dim_05_036,Dim_06_036,Dim_07_036,Dim_08_036,Dim_09_036
37,Trailer,623,2018,COMPASS-KH63,Silver,2022-02-23,102,Owner37,price_37,Engine_037,License_037,Dim_01_037,Dim_02_037,Dim_03_037,Dim_04_037,Dim_05_037,Dim_06_037,Dim_07_037,Dim_08_037,Dim_09_037
38,Trailer,623,2018,TRAYLA,Silver,2022-01-17,109,Owner38,price_38,Engine_038,License_038,Dim_01_038,Dim_02_038,Dim_03_038,Dim_04_038,Dim_05_038,Dim_06_038,Dim_07_038,Dim_08_038,Dim_09_038
39,Trailer - Heavy,623,2021,PRESCOTT,Silver,2021-12-03,104,Owner39,price_39,Engine_039,License_039,Dim_01_039,Dim_02_039,Dim_03_039,Dim_04_039,Dim_05_039,Dim_06_039,Dim_07_039,Dim_08_039,Dim_09_039
40,Trailer,549,2021,TRAILER,Black,2021-12-27,109,Owner40,price_40,Engine_040,License_040,Dim_01_040,Dim_02_040,Dim_03_040,Dim_04_040,Dim_05_040,Dim_06_040,Dim_07_040,Dim_08_040,Dim_09_040
41,Trailer,623,2021,TRAYLA,Silver,2022-03-02,106,Owner41,price_41,Engine_041,License_041,Dim_01_041,Dim_02_041,Dim_03_041,Dim_04_041,Dim_05_041,Dim_06_041,Dim_07_041,Dim_08_041,Dim_09_041
42,Trailer,623,2002,HOMEMADE,Silver,2022-01-02,102,Owner42,price_42,Engine_042,License_042,Dim_01_042,Dim_02_042,Dim_03_042,Dim_04_042,Dim_05_042,Dim_06_042,Dim_07_042,Dim_08_042,Dim_09_042
43,Boat Trailer,623,2018,BST58OR,Silver,2022-02-24,102,Owner43,price_43,Engine_043,License_043,Dim_01_043,Dim_02_043,Dim_03_043,Dim_04_043,Dim_05_043,Dim_06_043,Dim_07_043,Dim_08_043,Dim_09_043
44,Trailer,549,2018,TRAILER,Silver,2022-02-28,114,Owner44,price_44,Engine_044,License_044,Dim_01_044,Dim_02_044,Dim_03_044,Dim_04_044,Dim_05_044,Dim_06_044,Dim_07_044,Dim_08_044,Dim_09_044
45,Trailer,623,2014,DOMESTIC TRAILER,Silver,2021-10-19,104,Owner45,price_45,Engine_045,License_045,Dim_01_045,Dim_02_045,Dim_03_045,Dim_04_045,Dim_05_045,Dim_06_045,Dim_07_045,Dim_08_045,Dim_09_045
46,Moped,538,2005,TGB PALIO,Silver,2021-11-09,106,Owner46,price_46,Engine_046,License_046,Dim_01_046,Dim_02_046,Dim_03_046,Dim_04_046,Dim_05_046,Dim_06_046,Dim_07_046,Dim_08_046,Dim_09_046
47,Trailer - Heavy,623,2004,TANDEM,Grey,2021-11-05,102,Owner47,price_47,Engine_047,License_047,Dim_01_047,Dim_02_047,Dim_03_047,Dim_04_047,Dim_05_047,Dim_06_047,Dim_07_047,Dim_08_047,Dim_09_047
48,Trailer,527,2021,TRAILER,Silver,2022-03-02,102,Owner48,price_48,Engine_048,License_048,Dim_01_048,Dim_02_048,Dim_03_048,Dim_04_048,Dim_05_048,Dim_06_048,Dim_07_048,Dim_08_048,Dim_09_048
49,Trailer,623,2021,DOMESTIC,Grey,2021-10-22,102,Owner49,price_49,Engine_049,License_049,Dim_01_049,Dim_02_049,Dim_03_049,Dim_04_049,Dim_05_049,Dim_06_049,Dim_07_049,Dim_08_049,Dim_09_049
50,Trailer,623,2021,M J TANDEM AXLE,Silver,2022-01-20,114,Owner50,price_50,Engine_050,License_050,Dim_01_050,Dim_02_050,Dim_03_050,Dim_04_050,Dim_05_050,Dim_06_050,Dim_07_050,Dim_08_050,Dim_09_050
51,Trailer,514,2021,8X4 CAGE,Silver,2021-12-07,102,Owner51,price_51,Engine_051,License_051,Dim_01_051,Dim_02_051,Dim_03_051,Dim_04_051,Dim_05_051,Dim_06_051,Dim_07_051,Dim_08_051,Dim_09_051
52,Caravan,537,2003,RIVIERA 482,White,2021-10-13,114,Owner52,price_52,Engine_052,License_052,Dim_01_052,Dim_02_052,Dim_03_052,Dim_04_052,Dim_05_052,Dim_06_052,Dim_07_052,Dim_08_052,Dim_09_052
53,Roadbike,636,1995,XTZ660BG,Blue,2022-03-21,111,Owner53,price_53,Engine_053,License_053,Dim_01_053,Dim_02_053,Dim_03_053,Dim_04_053,Dim_05_053,Dim_06_053,Dim_07_053,Dim_08_053,Dim_09_053
54,Roadbike,561,1999,NINJA,Green,2022-02-15,104,Owner54,price_54,Engine_054,License_054,Dim_01_054,Dim_02_054,Dim_03_054,Dim_04_054,Dim_05_054,Dim_06_054,Dim_07_054,Dim_08_054,Dim_09_054
55,Trailer - Heavy,623,2021,PRESCOTT,Silver,2022-02-06,104,Owner55,price_55,Engine_055,License_055,Dim_01_055,Dim_02_055,Dim_03_055,Dim_04_055,Dim_05_055,Dim_06_055,Dim_07_055,Dim_08_055,Dim_09_055
56,Trailer - Heavy,623,2000,BRIFORD,Yellow,2022-03-05,102,Owner56,price_56,Engine_056,License_056,Dim_01_056,Dim_02_056,Dim_03_056,Dim_04_056,Dim_05_056,Dim_06_056,Dim_07_056,Dim_08_056,Dim_09_056
57,Boat Trailer,623,2021,ASD JETSKI,Silver,2022-02-21,102,Owner57,price_57,Engine_057,License_057,Dim_01_057,Dim_02_057,Dim_03_057,Dim_04_057,Dim_05_057,Dim_06_057,Dim_07_057,Dim_08_057,Dim_09_057
58,Trailer,623,1997,BRIFORD 8X4-6COVERED,Yellow,2021-11-05,105,Owner58,price_58,Engine_058,License_058,Dim_01_058,Dim_02_058,Dim_03_058,Dim_04_058,Dim_05_058,Dim_06_058,Dim_07_058,Dim_08_058,Dim_09_058
59,Trailer,623,2021,HOMEBUILT,Black,2022-03-06,102,Owner59,price_59,Engine_059,License_059,Dim_01_059,Dim_02_059,Dim_03_059,Dim_04_059,Dim_05_059,Dim_06_059,Dim_07_059,Dim_08_059,Dim_09_059
60,Trailer,623,1983,OLEARY,Red,2022-01-02,108,Owner60,price_60,Engine_060,License_060,Dim_01_060,Dim_02_060,Dim_03_060,Dim_04_060,Dim_05_060,Dim_06_060,Dim_07_060,Dim_08_060,Dim_09_060
61,Trailer,623,2021,TRAILERWORLD 9X5 HSB,Silver,2022-03-26,102,Owner61,price_61,Engine_061,License_061,Dim_01_061,Dim_02_061,Dim_03_061,Dim_04_061,Dim_05_061,Dim_06_061,Dim_07_061,Dim_08_061,Dim_09_061
62,Trailer,623,2018,SINGLE AXLE,Silver,2021-10-10,102,Owner62,price_62,Engine_062,License_062,Dim_01_062,Dim_02_062,Dim_03_062,Dim_04_062,Dim_05_062,Dim_06_062,Dim_07_062,Dim_08_062,Dim_09_062
63,Moped,550,2008,TODAY 50,Yellow,2021-12-19,104,Owner63,price_63,Engine_063,License_063,Dim_01_063,Dim_02_063,Dim_03_063,Dim_04_063,Dim_05_063,Dim_06_063,Dim_07_063,Dim_08_063,Dim_09_063
64,Trailer,623,2018,IFOR WILLIAMS,Black,2022-01-06,104,Owner64,price_64,Engine_064,License_064,Dim_01_064,Dim_02_064,Dim_03_064,Dim_04_064,Dim_05_064,Dim_06_064,Dim_07_064,Dim_08_064,Dim_09_064
65,Trailer,623,2014,PRESCOTT,Silver,2022-03-24,104,Owner65,price_65,Engine_065,License_065,Dim_01_065,Dim_02_065,Dim_03_065,Dim_04_065,Dim_05_065,Dim_06_065,Dim_07_065,Dim_08_065,Dim_09_065
66,Boat Trailer,623,2014,SPORTLINE,Silver,2021-10-21,105,Owner66,price_66,Engine_066,License_066,Dim_01_066,Dim_02_066,Dim_03_066,Dim_04_066,Dim_05_066,Dim_06_066,Dim_07_066,Dim_08_066,Dim_09_066
67,Hatchback,540,2006,FOCUS,Blue,2021-11-13,105,Owner67,price_67,Engine_067,License_067,Dim_01_067,Dim_02_067,Dim_03_067,Dim_04_067,Dim_05_067,Dim_06_067,Dim_07_067,Dim_08_067,Dim_09_067
68,Trailer - Heavy,623,2014,TILTING FLAT DECK,Silver,2021-11-08,105,Owner68,price_68,Engine_068,License_068,Dim_01_068,Dim_02_068,Dim_03_068,Dim_04_068,Dim_05_068,Dim_06_068,Dim_07_068,Dim_08_068,Dim_09_068
69,Trailer,623,2014,PMTRAILER,Silver,2022-01-24,114,Owner69,price_69,Engine_069,License_069,Dim_01_069,Dim_02_069,Dim_03_069,Dim_04_069,Dim_05_069,Dim_06_069,Dim_07_069,Dim_08_069,Dim_09_069
70,Boat Trailer,551,2014,BOAT TRAILER,Silver,2022-04-04,103,Owner70,price_70,Engine_070,License_070,Dim_01_070,Dim_02_070,Dim_03_070,Dim_04_070,Dim_05_070,Dim_06_070,Dim_07_070,Dim_08_070,Dim_09_070
71,Trailer,623,2014,TRAYLA,Silver,2022-02-24,107,Owner71,price_71,Engine_071,License_071,Dim_01_071,Dim_02_071,Dim_03_071,Dim_04_071,Dim_05_071,Dim_06_071,Dim_07_071,Dim_08_071,Dim_09_071
72,Trailer,623,2014,ELITE,Silver,2022-02-04,102,Owner72,price_72,Engine_072,License_072,Dim_01_072,Dim_02_072,Dim_03_072,Dim_04_072,Dim_05_072,Dim_06_072,Dim_07_072,Dim_08_072,Dim_09_072
73,Trailer,623,2014,ELITE 7X4,Silver,2022-01-14,114,Owner73,price_73,Engine_073,License_073,Dim_01_073,Dim_02_073,Dim_03_073,Dim_04_073,Dim_05_073,Dim_06_073,Dim_07_073,Dim_08_073,Dim_09_073
74,Caravan,591,1969,PIONEER,White,2021-11-27,104,Owner74,price_74,Engine_074,License_074,Dim_01_074,Dim_02_074,Dim_03_074,Dim_04_074,Dim_05_074,Dim_06_074,Dim_07_074,Dim_08_074,Dim_09_074
75,Saloon,512,2007,323I,White,2022-03-23,102,Owner75,price_75,Engine_075,License_075,Dim_01_075,Dim_02_075,Dim_03_075,Dim_04_075,Dim_05_075,Dim_06_075,Dim_07_075,Dim_08_075,Dim_09_075
76,Trailer,623,2015,7 X 4 STD,Silver,2022-01-05,102,Owner76,price_76,Engine_076,License_076,Dim_01_076,Dim_02_076,Dim_03_076,Dim_04_076,Dim_05_076,Dim_06_076,Dim_07_076,Dim_08_076,Dim_09_076
77,Trailer,623,2011,HOMEBUILT,Grey,2022-04-02,102,Owner77,price_77,Engine_077,License_077,Dim_01_077,Dim_02_077,Dim_03_077,Dim_04_077,Dim_05_077,Dim_06_077,Dim_07_077,Dim_08_077,Dim_09_077
78,Boat Trailer,623,2015,ENDURO,Silver,2022-01-06,104,Owner78,price_78,Engine_078,License_078,Dim_01_078,Dim_02_078,Dim_03_078,Dim_04_078,Dim_05_078,Dim_06_078,Dim_07_078,Dim_08_078,Dim_09_078
79,Trailer,623,2015,TRAYLA,Silver,2022-02-28,106,Owner79,price_79,Engine_079,License_079,Dim_01_079,Dim_02_079,Dim_03_079,Dim_04_079,Dim_05_079,Dim_06_079,Dim_07_079,Dim_08_079,Dim_09_079
80,Trailer,623,2015,ELITE 8X5,Silver,2022-01-14,114,Owner80,price_80,Engine_080,License_080,Dim_01_080,Dim_02_080,Dim_03_080,Dim_04_080,Dim_05_080,Dim_06_080,Dim_07_080,Dim_08_080,Dim_09_080
81,Trailer,623,2015,COMPASS D105,Silver,2021-10-18,102,Owner81,price_81,Engine_081,License_081,Dim_01_081,Dim_02_081,Dim_03_081,Dim_04_081,Dim_05_081,Dim_06_081,Dim_07_081,Dim_08_081,Dim_09_081
82,Trailer,623,2015,DOMESTIC TRAILER,Silver,2022-03-16,103,Owner82,price_82,Engine_082,License_082,Dim_01_082,Dim_02_082,Dim_03_082,Dim_04_082,Dim_05_082,Dim_06_082,Dim_07_082,Dim_08_082,Dim_09_082
83,Trailer - Heavy,623,1998,TANK,White,2022-01-18,104,Owner83,price_83,Engine_083,License_083,Dim_01_083,Dim_02_083,Dim_03_083,Dim_04_083,Dim_05_083,Dim_06_083,Dim_07_083,Dim_08_083,Dim_09_083
84,Stationwagon,507,2015,ALLROAD,Silver,2022-04-03,109,Owner84,price_84,Engine_084,License_084,Dim_01_084,Dim_02_084,Dim_03_084,Dim_04_084,Dim_05_084,Dim_06_084,Dim_07_084,Dim_08_084,Dim_09_084
85,Trailer,623,2015,ELITE 8X4,Silver,2022-01-04,114,Owner85,price_85,Engine_085,License_085,Dim_01_085,Dim_02_085,Dim_03_085,Dim_04_085,Dim_05_085,Dim_06_085,Dim_07_085,Dim_08_085,Dim_09_085
86,Roadbike,629,2001,PIAGGIO,Silver,2021-12-06,102,Owner86,price_86,Engine_086,License_086,Dim_01_086,Dim_02_086,Dim_03_086,Dim_04_086,Dim_05_086,Dim_06_086,Dim_07_086,Dim_08_086,Dim_09_086
87,Trailer,623,2015,HELMACK 8X5,Silver,2022-01-19,114,Owner87,price_87,Engine_087,License_087,Dim_01_087,Dim_02_087,Dim_03_087,Dim_04_087,Dim_05_087,Dim_06_087,Dim_07_087,Dim_08_087,Dim_09_087
88,Trailer,623,1984,LOCAL,Yellow,2022-03-21,102,Owner88,price_88,Engine_088,License_088,Dim_01_088,Dim_02_088,Dim_03_088,Dim_04_088,Dim_05_088,Dim_06_088,Dim_07_088,Dim_08_088,Dim_09_088
89,Trailer,623,2015,SINGLE AXLE,Silver,2022-03-01,103,Owner89,price_89,Engine_089,License_089,Dim_01_089,Dim_02_089,Dim_03_089,Dim_04_089,Dim_05_089,Dim_06_089,Dim_07_089,Dim_08_089,Dim_09_089
90,Boat Trailer,623,2008,BOAT,Silver,2022-02-22,104,Owner90,price_90,Engine_090,License_090,Dim_01_090,Dim_02_090,Dim_03_090,Dim_04_090,Dim_05_090,Dim_06_090,Dim_07_090,Dim_08_090,Dim_09_090
91,Trailer,623,1990,HOMEBUILT,Blue,2022-01-20,104,Owner91,price_91,Engine_091,License_091,Dim_01_091,Dim_02_091,Dim_03_091,Dim_04_091,Dim_05_091,Dim_06_091,Dim_07_091,Dim_08_091,Dim_09_091
92,Trailer,623,2000,PRESCOTT,Silver,2022-03-08,104,Owner92,price_92,Engine_092,License_092,Dim_01_092,Dim_02_092,Dim_03_092,Dim_04_092,Dim_05_092,Dim_06_092,Dim_07_092,Dim_08_092,Dim_09_092
93,Trailer,549,1996,TRAILER,Silver,2022-03-24,102,Owner93,price_93,Engine_093,License_093,Dim_01_093,Dim_02_093,Dim_03_093,Dim_04_093,Dim_05_093,Dim_06_093,Dim_07_093,Dim_08_093,Dim_09_093
94,Trailer,623,2018,COMPASS-C85,Silver,2022-03-18,102,Owner94,price_94,Engine_094,License_094,Dim_01_094,Dim_02_094,Dim_03_094,Dim_04_094,Dim_05_094,Dim_06_094,Dim_07_094,Dim_08_094,Dim_09_094
95,Trailer,616,2018,DOMESTIC TRAILER,Silver,2021-12-28,102,Owner95,price_95,Engine_095,License_095,Dim_01_095,Dim_02_095,Dim_03_095,Dim_04_095,Dim_05_095,Dim_06_095,Dim_07_095,Dim_08_095,Dim_09_095
96,Trailer,527,1985,TANDEM,Silver,2022-01-13,102,Owner96,price_96,Engine_096,License_096,Dim_01_096,Dim_02_096,Dim_03_096,Dim_04_096,Dim_05_096,Dim_06_096,Dim_07_096,Dim_08_096,Dim_09_096
97,Roadbike,550,2005,VT,Red,2022-03-19,102,Owner97,price_97,Engine_097,License_097,Dim_01_097,Dim_02_097,Dim_03_097,Dim_04_097,Dim_05_097,Dim_06_097,Dim_07_097,Dim_08_097,Dim_09_097
98,Roadbike,550,2000,CBR,Blue,2022-01-31,114,Owner98,price_98,Engine_098,License_098,Dim_01_098,Dim_02_098,Dim_03_098,Dim_04_098,Dim_05_098,Dim_06_098,Dim_07_098,Dim_08_098,Dim_09_098
99,Trailer,623,2022,HOMEBUILT,Black,2022-02-14,102,Owner99,price_99,Engine_099,License_099,Dim_01_099,Dim_02_099,Dim_03_099,Dim_04_099,Dim_05_099,Dim_06_099,Dim_07_099,Dim_08_099,Dim_09_099
100,Boat Trailer,623,2021,JETSKI ACTION LAB,Grey,2021-12-30,103,Owner100,price_100,Engine_100,License_100,Dim_01_100,Dim_02_100,Dim_03_100,Dim_04_100,Dim_05_100,Dim_06_100,Dim_07_100,Dim_08_100,Dim_09_100
101,Trailer,623,2000,HOMEBUILT,Silver,2022-01-29,106,Owner101,price_101,Engine_101,License_101,Dim_01_101,Dim_02_101,Dim_03_101,Dim_04_101,Dim_05_101,Dim_06_101,Dim_07_101,Dim_08_101,Dim_09_101
102,Trailer,549,2022,TRAILER,Black,2022-03-12,104,Owner102,price_102,Engine_102,License_102,Dim_01_102,Dim_02_102,Dim_03_102,Dim_04_102,Dim_05_102,Dim_06_102,Dim_07_102,Dim_08_102,Dim_09_102
103,Trailer,623,1998,MARTIN ENGINEERING,White,2022-03-28,102,Owner103,price_103,Engine_103,License_103,Dim_01_103,Dim_02_103,Dim_03_103,Dim_04_103,Dim_05_103,Dim_06_103,Dim_07_103,Dim_08_103,Dim_09_103
104,Trailer,623,2018,TUFF,Silver,2021-11-22,104,Owner104,price_104,Engine_104,License_104,Dim_01_104,Dim_02_104,Dim_03_104,Dim_04_104,Dim_05_104,Dim_06_104,Dim_07_104,Dim_08_104,Dim_09_104
105,Trailer,623,1977,LOCAL,Brown,2021-12-03,104,Owner105,price_105,Engine_105,License_105,Dim_01_105,Dim_02_105,Dim_03_105,Dim_04_105,Dim_05_105,Dim_06_105,Dim_07_105,Dim_08_105,Dim_09_105
106,Trailer - Heavy,623,2018,8X4 TRAYLA,Silver,2022-02-01,106,Owner106,price_106,Engine_106,License_106,Dim_01_106,Dim_02_106,Dim_03_106,Dim_04_106,Dim_05_106,Dim_06_106,Dim_07_106,Dim_08_106,Dim_09_106
107,Trailer,623,1980,HOMEMADE,Blue,2022-03-20,111,Owner107,price_107,Engine_107,License_107,Dim_01_107,Dim_02_107,Dim_03_107,Dim_04_107,Dim_05_107,Dim_06_107,Dim_07_107,Dim_08_107,Dim_09_107
108,Trailer - Heavy,623,2018,NYMIC,White,2022-04-03,114,Owner108,price_108,Engine_108,License_108,Dim_01_108,Dim_02_108,Dim_03_108,Dim_04_108,Dim_05_108,Dim_06_108,Dim_07_108,Dim_08_108,Dim_09_108
109,Trailer,623,2022,TRAILER,Silver,2022-02-09,102,Owner109,price_109,Engine_109,License_109,Dim_01_109,Dim_02_109,Dim_03_109,Dim_04_109,Dim_05_109,Dim_06_109,Dim_07_109,Dim_08_109,Dim_09_109
